87,PW-50743-10,"In Information Technology &amp; Libraries. (29)2, 87 - 92. http://www.ala.org/ala/mgrps/divs/lita/publications/ital/29/2/han.pdf",,"Han, Y",,,http://www.ala.org/ala/mgrps/divs/lita/publications/ital/29/2/han.pdf,,,,,On the Clouds: A New Way of Computing,2010
110,RZ-51141-10,"The Montpelier Foundation has begun a three year archaeological study of the sites of slave homes at James Madison's Montpelier.  This study uses archaeological excavations to compare three different parts of the enslaved community:  field slaves, house slaves, and enslaved artisans.  These sites were all occupied by Montpelier slaves during the 1810s-1830s and they consist of the South Yard (quarters for house slaves located immediately to the south of the mansion), the Stable Quarter (quarters for skilled artisans located between the South Yard and the Montpelier Visitor Center), and the Field Quarter (quarter for field slaves located downhill from the Montpelier Visitor Center).   The study encompasses three distinct slave quarters at Montpelier so that archaeologists can compare the homes, yards, and household possessions of the different portions of the Madisons' enslaved community.",,Matthew B. Reeves,Journal,Newsletter for the African Diaspora Archaeology Network,http://www.diaspora.uiuc.edu/news1210/news1210-1.pdf,Newsletter for the African Diaspora Archaeology Network,African Diaspora Archaeology Network,,,A Community of Households: The Early 19th-Century Enslaved Community at James Madison’s Montpelier,2010
137,FT-53744-05,"During the 1920s, liberal intellectuals in Japan took up their pens to express concerns about the proliferation of violence in political life. Political violence, they feared, was eroding Japanese civilization and culture, degrading constitutional government, and fomenting disorder and instability. Such anxieties encouraged ‘statism' in their thinking, as a number of liberals called upon the state to provide order and security, without considering who was to police the state. This paper argues that Liberalism was undermined by this trust and authority endowed to the state and was undone, not just by state oppression, but by liberals themselves at the level of democratic practice.",,"Siniawer, Eiko Maruko",Journal,Modern Asian Studies,http://journals.cambridge.org/action/displayAbstract?fromPage=online&amp;aid=8285977&amp;fulltextType=RA&amp;fileId=S0026749X09000067,,Cambridge University Press,http://www.worldcat.org/title/liberalism-undone-discourses-on-political-violence-in-interwar-japan/oclc/733292167&amp;referer=brief results,,Liberalism Undone: Discourses on Political Violence in Interwar Japan,2011
138,FB-52452-06,"Against a backdrop of labor unrest and the democratization of politics, yakuza and the modern Japanese state forged in the late 1910s and 1920s a symbiotic relationship born of shared ideological concerns, financial interests, and a willingness to use violence as a tool for exerting and maintaining power. This article argues that yakuza and the state were able to join forces in part because they were operating in a world in which the boundaries between the legitimate and the illegitimate were fluid and porous.  Struggling to define these boundaries were leftist intellectuals who took a critical stance against non-state political violence, yet reinforced the legitimacy of state violence.  Considered too is the yakuza-state relationship in the postwar era. The article challenges the view of mafias as illegitimate and states as legitimate and poses questions about the extent to which zones of ambiguous legitimacy might have contributed to transformations of Japan's political system.",,"Siniawer, Eiko Maruko",Journal,Journal of Social History,,,George Mason University Press,,,Befitting Bedfellows: Yakuza and the State in Modern Japan,2012
143,FB-53835-08,"The article describes and analyzes twelve Greek medieval and Renaissance manuscripts in the collection of the Morgan Library and Museum (MSS M.652, M.654.1-4, M.655, M.656, M.662A(9c), M.664A(4), M.692, M.714, M.745, M.748, M.758, and M.874). Together with Part IV.1, this article constitutes the first thorough survey of the Morgan's Greek manuscripts., The article describes and analyzes twelve Greek medieval and Renaissance manuscripts in the collection of the Morgan Library and Museum (MSS M.652-M.874). Together with Part IV.1, this article constitutes the first thorough survey of the Morgan's Greek manuscripts.",Subscription only,Nadezhda Kavrus-Hoffmann,Journal,Manuscripta,,,Brepols,,,Catalogue of Greek Medieval and Renaissance Manuscripts in the Collections of the United States of America. Part IV.2: The Morgan Library and Museum.,2008
146,FB-53835-08,"This article describes and analyzes eleven Greek medieval and Renaissance manuscripts in the collection of Harvard University's Houghton Library (MSS Typ 18, 46, 144, 215, 222, 243, 267, 294, 416, 491, and 743)and one palimpsest manuscript from the collection of the Andover-Harvard Theological Library. The article constitutes the first thorough survey of this collection., This article describes and analyzes eleven Greek medieval manuscripts in the collection of Harvard University's Houghton Library (MSS Gr. 1-4,6, 7.1, 7.2, 8, 12,13, and 15). The article constitutes the first thorough survey of this collection.",,Nadezhda Kavrus-Hoffmann,Journal,Manuscripta,,,Brepols,,,"Catalogue of Greek Medieval and Renaissance Manuscripts in the Collections of the United States of America. Part V.1: Harvard University, The Houghton Library., Catalogue of Greek Medieval and Renaissance Manuscripts in the Collections of the United States of America. Part V.3: Harvard University, The Houghton Library.",2010
345,RA-50003-03,A study of a Seljuk han located near coastal Antalya and its architectural decoration.,print,"Redford, Scott",Journal,"Adalya, Annual of the Suna and Inan Kirac Research Institute Mediterranean Civilizations",,,Suna and Inan Kirac Research Institute Mediterranean Civilizations,,,The Kible Wall of the Kargi Hani,2007
147,FB-53835-08,"This article describes and analyzes eleven Greek medieval manuscripts in the collection of Harvard University's Houghton Library (MSS gr. 1-4, 6, 7.1, 7.2, 8, 12, 13, and 15. The article constitutes the first thorough survey of this collection., This article describes and analyzes ten Greek medieval and Renaissance manuscripts and fragments in the collection of Harvard University's Houghton Library (MSS Gr. 17-20, 22, 25, 27, 31, 32, and Arm. 11 (fly-leaves). The article constitutes the first thorough survey of this collection.",Subscription only,Nadezhda Kavrus-Hoffmann,Journal,Manuscripta,,,Brepols,,,"Catalogue of Greek Medieval and Renaissance Manuscripts in the Collections of the United States of America. Part V.2: Harvard University, The Houghton Library.",2010
148,FB-53835-08,"This article describes and analyzes eleven Greek medieval and Renaissance manuscripts in the collection of Harvard University's Houghton Library (MSS Typ 18, 46, 144, 215, 222, 243, 267, 294, 416, 491, and 743)and one palimpsest manuscript from the collection of the Andover-Harvard Theological Library. The article constitutes the first thorough survey of this collection., Thisarticle describes and analyzes eleven Greek medieval and Renaissance manuscripts in the collection of Harvard University's Houghton Library (MSS Typ 18, 46, 144, 215, 222, 243, 267, 294, 416, 491, and 743)and one palimpsest manuscript from the collection of the Andover-Harvard Theological Library. The article constitutes the first thorough survey of this collection.",Subscription only,Nadezhda Kavrus-Hoffmann,Journal,Manuscripta,,,Brepols,,,"Catalogue of Greek Medieval and Renaissance Manuscripts in the Collections of the United States of America. Part V.3: Harvard University, The Houghton Library and Andover-Harvard Theological Library., Catalogue of Greek Medieval and Renaissance Manuscripts in the Collections of the United States of America. Part V.3: Harvard University, The Houghton Library.",2011
150,FB-54593-10,"This paper argues against the prevailing view of the ancient Athenian procedure for barring lawsuits, the 'paragraphe'. Based on the earliest testimony (Isocrates 18) we should conclude that this remedy was originally introduced against any suit violating specific covenants of the recent Reconciliation Agreement (403 BC), not to enforce a general amnesty.The trial was then decided by a single ballot (for the plaintiff or for the defendant), not a two-stage procedure as H.J Wolff argued (1966).",Open access,Edwin Carawan,Journal,"Greek, Roman, and Byzantine Studies",http://grbs.library.duke.edu/issue/view/2141,"Online access to 'Greek, Roman, and Byzantine Studies' (Duke University), vol. 51, pp. 254-95.",Duke University,,,Paragraphe and the Merits,2011
161,FA-55357-10,An article about the influence of history and memory on the art of Romare Bearden published in the Mint Museum's Bearden Centennial Exhibition Catalogue.,,Glenda Elizabeth Gilmore,Other,,http://www.worldcat.org/title/romare-bearden-southern-recollections/oclc/751754935?referer=di&amp;ht=edition,Worldcat entry.,,,,"“Romare Bearden’s Mecklenburg Memories,” in Mary L. Corlett, Leslie King Hammond, Jae Emerling, Carla Hanzal, and Glenda Gilmore, Romare Bearden:  Southern Recollections (London and New York: D Giles Ltd. October, 2011).",2011
167,PW-50551-10,"The DARE project is described, along with research showing that American English has not been homogenized, as is often perceived, and that regionalisms persist. , The DARE project is described. Mention is made of research that shows American English has not been homogenized, as is often perceived, and that regionalisms persist.",,Joan Houston Hall,Magazine,Newsweek,http://www.newsweek.com/2010/07/30/how-to-speak-american.html,,,,,"How to Speak American. A ""My Turn"" Essay",2010
172,PW-50845-11,Press release issued by the Library of Virginia published in newspaper,,"Jan Hathcock, Carl Childs",Newspaper,,http://progress-index.com/news/library-of-virginia-awarded-155-071-neh-grant-to-scan-petersburg-chancery-records-1.1144602,,Petersburg Progress-Index,,,"Library of Virginia Receives $155,071 NEH Grant to Scan Petersburg Chancery Records",2011
173,FB-55046-10,"This paper focuses on a particular event in South African history and the ways in which the event is memorialized and remembered in post-apartheid South Africa.  In her book Visual Culture and Public Memory in a Democratic South Africa, Annie Coombes remarks, ""Women's vital role in the overthrow of the apartheid state has been sorely neglected in favor of a more monolithic representation of the liberation movement"" (107).    In this paper I consider Coombes' claim in relation to one specific attempt at public memorial after apartheid: the Monument to the Women of South Africa located at the Union Buildings in Pretoria.   As the only commemorative site dedicated entirely to women's apartheid-era political efforts, the Monument to the Women of South Africa is of vital importance to the memory of women's role in the struggle. And yet a tension exists between the monument's presence as a feminist site, and its disappearance from public view: the Monument has essentially been invisible to the public for most of its existence, due in part to the inaccessibility of the Union Buildings.  The Monument's invisibility not only trivializes the political significance of the Women's March, but is also a distressing act of post-apartheid erasure of women's political agency.  I argue that when one considers this alongside the more widespread exclusion of women in post-apartheid commemorative sites, this not only has implications for the telling of history, but may very well affect women's ability to in Cynthia Enloe's words, ""sustain an authentic political life in post-war periods"" (71).  ",,Kim Miller,Journal,"South African Historical Journal ",http://www.worldcat.org/title/selective-silence-and-the-shaping-of-memory-in-post-apartheid-visual-culture-the-case-of-the-monument-to-the-women-of-south-africa/oclc/741302165&amp;referer=brief results,,"Taylor &amp; Francis ",,,Selective Silence and the Shaping of Memory in Post-Apartheid Visual Culture: The Case of the Monument to the Women of South Africa,2011
174,GI-50135-09,"University Fact Sheet for the For All the World to See project, Review of Exhibition: ARTnews, October 2010, pp. 105-6",Internet,UMBC,Other,,"http://www.umbc.edu/fatwts/, ","This fact sheet provides the UMBC community with up to date information about the For All the World to See project, including national venues, news about its NEH on the Road iteration, press, events, and other activities. ","University of Maryland, Baltimore County",,,"FACT SHEET: For All the World to See: Visual Culture and the Struggle for Civil Rights, “Reviews/New York: For All the World to See""",2011
1423,EH-50075-06,"compares O'Connor's ""The Partridge Festival"" to Dexter's  Paris Trout  after reviewing the real events that inspired both works.",,"Douglas Robillard, Jr. ",Journal,Flannery O'Connor Review,,,Georgia College,,,""" Rashomon  in Milledgeville: Flannery O'Connor and Pete Dexter on the Stembridge Murders""",2011
1424,EH-50075-06,"interview with Dexter, esp. regarding his attitude towards O'Connor.",,"Douglas Robillard, Jr. ",Journal,Flannery O'Connor Review,,,Georgia College,,,"""An Interview with Pete Dexter""",2011
1425,EH-50075-06,Compares O'Connor's and Faulkner's stories about failed artists to reveal authors' attitudes toward the writing of fiction.,,"John D. Sykes, Jr. ",Journal,Flannery O'Connor Review,http://www.gcsu.edu/library/sc/collections/oconnor/focreview.htm,journal website,Georgia College,,,"""Portraits of the Artist: O'Connor's 'The Enduring Chill' and Faulkner's 'Elmer'""",2010
175,GI-50135-09,"Book Page for For All the World to See Project, Exhibition Review: ""The New Yorker, 26 July 2010, p. 9; reprinted 6 September, p. 11",,"Center for Art, Design and Visual Culture, Maurice Berger, David Roediger, and Michele Wallace",Other,,"http://www.umbc.edu/cadvc/foralltheworld/film/index.php, http://www.newyorker.com/arts/events/art/2010/08/02/100802goar GOAT art?currentPage=2","For All the World to See: Film and the Struggle for Civil Rights is an online festival that explores film’s role in examining the problem of racism and segregation and in influencing the historic fight for racial equality and justice. The nature of film—stories that are played out over time in scenes that are sometimes long and complex—makes its presentation unsuited to the environment of the museum exhibition. Thus, the film component of For All the World to See will concentrate on complete works, as opposed to the fast-paced clips from television and newsreels featured in the exhibition and on the website. The festival’s online format allows you to experience it in your home—or at school or in the library—since most of the titles are commercially available on DVD. Its seventeen films are accompanied by short essays that discuss their relevance and connection to the civil rights movement.","CADVC/UMBC and the Smithsonian National Museum of African American History and Culture, CADVC/UMBC",,,"Online Film Festival: FOR ALL THE WORLD TO SEE, ""Goings on About Town: For All the World to See""",2010
221,HB-50006-11,"On February 17, 1879, Ford County Sheriff W. D. ""Bat"" Masterson arrived at the Dodge City train depot with seven Northern Cheyenne men as prisoners. The state of Kansas was charging them with forty murders in the last ""Indian Raid"" in Kansas. In 1877, the government had ordered all Northern Cheyennes to move to Indian Territory, now Oklahoma, which most had found intolerable. A group of about three-hundred Northern Cheyenne men, women, and children escaped in September of 1878 and finally were imprisoned at Camp Robinson in Nebraska. After an attempt to break free on January 9, 1879, more than a dozen men remained alive.  The U.S. Army authorities sent a few prisoners to the Pine Ridge Agency, and seven Northern Cheyenne men arriving in Dodge City faced Ford County charges. While in Dodge, this group created four ledger notebooks, which they bartered or sold. The images they created include many game animals, female animals with young, groupings of men and/or women, and local wildlife. Few images of war or warriors occur. Implicitly, these texts record the remarkable recovery and adaptation of seven men who experienced extreme hardships and loss. In Dodge City, somehow, they were able to renegotiate their situation, interact with former enemies and friends, and find self expression. The desperate and depressed group of men incarcerated in Dodge City overcame obstacles to reclaim their place within sovereign North American political entities.",,"Ramon Powers, Denise Low ",Journal,Kansas History: A Journal of the Central Plains,http://www.kshs.org/p/kansas-history-forthcoming-issue/12442,Kansas History (journal). Article to appear in the print and online versions of the journal when published in January of 2012.,Kansas State Historical Society,,,NORTHERN CHEYENNE WARRIOR LEDGER ART: Captivity Narratives of Northern Cheyenne Prisoners in 1879 Dodge City,2012
226,RA-50033-05,"The two pediments and twelve metopes adorning the Temple of Zeus at Olympia of ca. 470-456 B.C. have been the subject of scholarly inquiry since their discovery in the 19th century. These inquiries tend to treat the sculptural elements separately from each other, or largely detached from their Olympic context, and to interpret the sculptures as negative admonitions about hubris and consequent justice, or about dike and arete, or as political allegories. The present study examines the sculptures as a programmatic unity intimately connected with Olympia and the activities that occurred there and argues that, contrary to previous interpretations, the sculptures were created to serve as positive models to inspire and exhort Olympic athletes to deeds of honor and glory.",,Dr. Judith Barringer,Journal,"Jahrbuch des Deutschen Archäologischen Instituts 124,  223-250",http://www.dainst.org,,,,,The Olympic Altis Before the Temple of Zeus,2009
268,RZ-20867-02,"Although the evidence for dramatic performance in early South Wales is spotty at best, the surviving records (forthcoming in Records of Early Drama: Wales) do allow tentative answers to several crucial questions. The geographical situation of linguistic communities strongly implies that performances took place in both English and Welsh, though the evidence for Welsh-language plays is much less clear than in North Wales. Performances of both sacred and secular material were given by both professional and non-professional groups. Professional groups appeared, at least in the documented cases, under municipal auspices, while non-professional groups used their performances for fundraising purposes. What slim evidence does survive for travelling professional companies suggests that they were more likely to travel to Wales by sea than by road.",,David N Klausner,Journal,Early Theatre,http://www.worldcat.org/title/plays-and-performing-in-early-modern-south-wales/oclc/646068587&amp;referer=brief results,WorldCat listing,McMaster University,,,Plays and Performing in Early Modern South Wales,2003
292,RA-50040-06,"The immigration of Muslims into the Ottoman Empire, especially from Russia and the Balkans, is a feature of late imperial Ottoman history whose legacy remains strong to this day. Millions of individuals in present-day Turkey trace their roots back to the Balkans or Russia, and interest in these regions remains high in Turkey. Estimates of Muslim immigrants to the Ottoman Empire vary, although most sources place the total number of Muslims leaving Russia for the Ottoman Empire in the latter half of the 19th century and early 20th century at well over one million.1 As Russian Muslims in 1897 were considered to number nearly 20 million while Ottoman Muslims counted in the same year numbered 14.1 million, this population shift involved a significant proportion of the Muslim populations of both empires.",Volume ID: 39,"Meyer, James H.",Journal,International Journal of Middle East Studies,http://www.jhmeyer.net/Meyer-IJMES%20Article.pdf,,Cambridge University Press,,,"Immigration, Return, and the Politics of Citizenship: Russian Muslims in the Ottoman Empire, 1860-1914",2007
293,RA-50040-06,"The histories of the Ottoman Empire and Russia (not to mention Turkey and the USSR) are not only deeply entwined within one another, they also run parallel in many ways. During the Middle Ages, both Moscow and the Ottomans expanded to rule over ethnically and religiously diverse populations, and their respective methods of expansion and rule provide numerous points of contrast and comparison between the two states. Efforts to modernize focused the attention of state officials in both empires, and in the nineteenth century both Russia and the Ottoman Empire undertook reforms which would have a tremendous impact upon the two states, and which often provoked responses from their respective subjects which assumed a national or religious character. In the early twentieth century, meanwhile, constitutional revolutions in both empires preceded noisy periods of mass politics and, eventually, increasing authoritarianism. At the conclusion of the imperial era, the First World War would mark the eleventh time the Ottoman and Russian armies went into combat against one another since the mid-seventeenth century.",,"Meyer, James H",,Ab Imperio,http://www.jhmeyer.net/Meyer-AbImperio.pdf,,,,,For the Russianist in Istanbul and the Ottomanist in Russia:  A Guide to the Archives of Eurasia,2008
295,RA-50040-06,"This article offers a critical assessment of the existing literature on Ottoman courts of law, which characterizes the court's operations as single-mindedly legalistic and socially disinterested. There is a conceptual discrepancy between this literature and recent legal and anthropological studies of modern Islamic courts, which highlight the influence on the court's actions of communal considerations, such as the desire to make peace among disputants. With reference to a specific rape incident in eighteenth-century Anatolia, I propose in this article a characterization of Ottoman legal practice that acknowledges the contextual and socially-bounded nature of the court's actions.",,"Ergene, Bogac",Journal,Islamic Law and Society,,,Brill,,,Why did Ummu Gulsum go to court? Ottoman Legal Practice between History and Anthropology,2010
296,RA-50040-06,"Based on probate estate inventories from eighteenth-century Kastamonu in north Anatolia, this study examines intergenerational mobility patterns in one Ottoman provincial town. Although the topic is well-studied in many Western contexts, historical and contemporary, we still know little about the ways in which socioeconomic disparities and class identities were transmitted across subsequent generations of parents and children in the Ottoman Empire. In order to explore this issue in a sophisticated fashion, this article introduces quantitative techniques and categories of analysis tailored specifically for Ottoman sources. In addition to other findings, our analysis suggests that Kastamonu in the eighteenth century was vertically and horizontally segmented: Not only were there significant impediments to intergenerational mobility across privileged and underprivileged sectors of the society, such transitions were also infrequent across sub-groups within upper and lower classes. Despite a general lack of intergenerational fluidity at all socioeconomic levels, however, our calculations also reveal that the provincial elite were particularly immobile.",,"Kaygun, Atabey, Ergene, Bogac",Journal,History of the Family,,,,,,Intergenerational Mobility in the in the Ottoman Empire:  Observations from Eighteenth-Century Kastamonu,2011
297,RA-50040-06,"Dealing with the roles of the Bektashis in Turkey's recent history, especially in its National Struggle (1918-1923) as well as their situation in late 19th and early 20th centuries Ottoman Empire, this volume is packed with well documented historical information on individuals who belonged or claimed to belong to the Bektashi milieu, and contains many documents and several pictures hitherto unknown. It also treats the roles of the other Sufi orders in the National Struggle to emphasize its thesis that the Bektashis acted not differently during the National Struggle. It sheds lights on many unknown aspects of Turkey's National Struggle and brings new commentaries on Turkey's official policies regarding the Bektashis and Alevis.",,"Dressler, Markus",Journal,"Zeitschrift Der Deutschen Morgenla¨ndischen Gesellschaft ",,,Brill,,,Hulya Kuçuk:  The Role of the Bektashis in Turkey's National Struggle.  A Historical and Critical Study,2008
299,FO-50116-10,"Political economists have long noted that the prospects for trade liberalization diminish in a climate of economic recession. A stagnant economy intensifies the burden of adjustment for non-competitive sectors and polarizes domestic trade politics. Not surprisingly, the global financial crisis has raised concerns of a substantial protectionist backlash, through the imposition of national measures that circumvent WTO disciplines such as anti-dumping or tied stimulus packages. The impact of economic crisis on regional integration is, however, more ambiguous and has not been explored systematically. On the one hand, policymakers may be pressed to renege on trade liberalization commitments on all fronts -weakening as well the momentum to negotiate or implement regional trade agreements (FTAs). On the other hand, policymakers may be tempted to ""insulate"" their region from adverse global trends and may see FTAs as more amenable to political manipulation that shelters inefficient sectors. In order to shed light on the connection between external crisis and regionalist drive, I assess three main challenges East Asian elites confront in devising a regional trade bloc capable of acting as a growth locomotive: institutional fit, multilateralization, and architectural design. The track record of East Asian governments of negotiating FTAs to score diplomatic points abroad and ensure political survival at home–at the expense of maximizing economic gains through far-reaching liberalization- does not bode well for the magnitude of this challenge.",,Mireya Solis,Journal,The Pacific Review,http://www.tandfonline.com/doi/abs/10.1080/09512748.2011.577232?prevSearch=solis&amp;searchHistoryKey=,,,,,"Global Economic Crisis: Boon or Bust for East Asian Trade Integration? ",2011
300,FO-50116-10,"Japan's response to the global financial crisis has emphasized global initiatives and downplayed the regional agenda, in sharp contrast to its approach to the Asian Financial Crisis. This rebalancing in Japan's economic diplomacy reflects the greater political space it enjoys at the global level since its long held views on the benefits of flexible IMF lending practices and controls on volatile capital flows have now become mainstream; while at the regional level Japan faces stiff competition with China in shaping the regional integration agenda and unchartered territory in co-leading a multilateralized Chiang Mai Initiative. Despite its enhanced profile, Japan's new globalism is uneven: it has made a very significant financial contribution to expand the resources of the IMF and to restore trade financing; but Japan has not played a major role in the debate surrounding the most pressing issues of a future financial architecture such as tackling global imbalances and promoting foreign exchange rate cooperation. Japan's muted voice, despite its large financial commitments, is due to its difficult adaptation to the G20 summitry process as well as political volatility at home which prevents developing measures to deal with global downturn.",,Mireya Solis,Journal,The Hague Journal of Diplomacy,http://www.ingentaconnect.com/content/mnp/hjd/2011/00000006/F0020001/art00003,,,,,"Globalism ascendant, regionalism stagnant: Japan’s response to the global financial crisis",2011
317,FA-55069-10,"The article explores the speeches that the Bryan, Roosevelt, and Wilson gave in 1911 to commemorate the 300th anniversary of the King James Bible",,Mark A. Noll,Journal,"Theology, vol. 114 (July 2011)",,,Sage Publications,,,"William Jennings Bryan, Theodore Roosevelt, Woodrow Wilson, and the King James Version of the Bible",2011
318,FA-55069-10,"The article explains the effects of the Civil War on American Presbyterian theology, especially Presbyterians' use of the Bible.",,Mark A. Noll,Journal,"Journal of Presbyterian History, vol. 89 (Spring/Summer 2011)",,,Presbyterian Historical Society,,,"Theology, Presbyterian History, and the Civil War",2011
319,FA-55069-10,This is a review essay of six books and one DVD concerning the King James Version of the Bible.,,Mark A. Noll,Magazine,Books &amp; Culture,,,Christianity Today International,,,Long Live the King,2011
