269,RQ-50114-04,"Lecture outlined how the discoveries Records of Early English Drama have changed previous beliefs about medieval and early modern drama. Part of a Smithsonian ""Great Schools Forum"" focusing on research projects at the University of Toronto.",Alexandra F Johnston,05/01/2005,"Smithsonian, Washington, DC",,,,,The Inherited Tradition
270,RQ-50114-04,"A lecture introducing the Patrons and Performances website as a tool for in-depth research on the activities of Elizabethan acting companies.  Part of a Smithsonian ""Great Schools Forum"" focusing on research projects at the University of Toronto.",Sally-Beth MacLean,05/01/2005,"Smithsonian, Washington, DC",,,,,The Elizabethan Theatre on Tour
276,GM-50163-04,"On November 12, 2009 adversaries Robert E Lee and Ulysses S Grant meet again in conjunction with the NEH on the Road showing of ""Lee and Grant"" at the MacArthur Museum of Military History in Little Rock, AR. Noted Civil war re-enactors Al Stone and Barry Meadows will engage in a debate moderated by the Pulitzer Prize winning writer Paul Greenberg.",Al Stone and Barry Meadows,11/12/2009,"Holiday Inn Presidential, Little Rock, AR",http://www.arkmilitaryheritage.com/,There is no longer an active URL for this event; the above is the address for the museum's archived page regarding this exhibition.,,,Lee and Grant Meet Again
2796,FA-56388-12,A discussion of how Douglass's autobiographical writings on Lincoln over a thirty-year period cast new light on the Douglass-Lincoln relationship.,Robert Levine,10/23/2013,"Institute for Advanced Study, Texas A&amp;M",,,,,"""Frederick Douglass, Abraham Lincoln, and the Civil War"""
2797,FA-56388-12,"An overview of the project, focusing on a cultural history of Douglass's  Narrative , which was out of print for over 100 years.",Robert Levine,09/23/2013,"Department of English, Texas A&amp;M",,,,,"""The Lives of Frederick Douglass"""
2847,CH-50332-07,"Dr. Park will discuss the tensions on the Korean peninsula between North and South Korea.  What is going on in North and South Korea? How much do we know and why do we need to know? What are those six world powers doing there, including the USA?","Dr. John S. Park, Azusa Pacific University",03/15/11,Calvin College,,,,,Why the Korean Peninsula?
277,GM-50163-04,"&#x0D; The Brazos Valley Museum of Natural History, is pleased to announce ""Kindred Spirits: Landscape Painting and America's National Parks,"" an opening presentation by Dr. Jim Gramann, an expert on the history of national parks and the influence of Thomas Cole. His presentation will be followed by a free reception and gallery viewing of ""Wild Land: Thomas Cole and the Birth of the American Landscape Painting,"" a nationally touring exhibition premiering at the Museum. This beautiful exhibition takes visitors ""into the woods"" and through Cole's studio, revealing the ways in which he and other artists of his time pioneered cultural conversations that shaped our national landscape intellectually, physically, and visually.",Brazos Valley Museum and Dr Jim Gramann,09/1/2011,"Brazos Valley Museum, Bryan, Texas",http://brazosvalleymuseum.org/events-and-news/news/wild-land-exhibit-grand-opening-kindred-spirits,Direct link to the museum's news release for this event and announcing the opening of the exhibition,http://brazosvalleymuseum.org/,"Website for the Brazos Valley Museum of Natural History in Bryan, TX, host of the NEH on the Road exhibition ""Wild Land.""",Kindred Spirits: Landscape Painting and America's National Parks
322,FA-55069-10,This two-lecture series examined several aspects of the use and abuse of Scripture in American life.,Mark A. Noll,11/1/2010,"Davidson College, Davidson, NC",,,,,The Bible in American Public Life
323,FA-55069-10,"This paper examined events relating to the publication, translation, distribution, and use of the Bible in the single year 1876.",Mark A. Noll,11-4-2010,"City University of New York, New York",,,,,"America's Bible Civilization:  What It Was, When It Collapsed, and Why"
324,FA-55069-10,"This lecture surveyed the place of the Bible in university life from the era of Martin Luther to the present day, with special application to the situation of Valparaiso University, a Lutheran university.",Mark A. Noll,2-16-2010,"Valparaiso University, Valparaiso, IN",,,,,The Place of the Bible in the Modern Christian University
325,FA-55069-10,This paper surveyed for an English audience the general history of the King James Version in America.,Mark A. Noll,4-27-2011,"Cambridge University, Cambridge, England",,,,,This is the Book of the People:  The KJV in America
361,RA-50055-07,Lecture in the Director's Lecture Series,Professor Jenifer Neils,2/3/09,"American School of Classical Studies at Athens, Greece",,,,,The Parthenon Sculptures and Periklean Policies
363,RA-50055-07,"The Eye and the Trowel, Princeton University",Professor Jenifer Neils,10/16/09,Princeton University,,,,,The City Reliefs of Athens
365,RA-50055-07,Director's Lecture Series,Professor Jenifer Neils,2/1/09,"American School of Classical Studies at Athens, Greece",,,,,The Parthenon Sculptures and Athenian Ideology
370,RA-50055-07,Cotsen Hall lecture,Dr. Diana Wright,11/1/08,"American School of Classical Studies at Athens, Greece",,,,,Venetian-Ottoman Post-War (1464-1478) Cooperation in the Morea
371,RA-50055-07,Director's lecture series in Cotsen Hall: This was on the research project funded by the NEH.,Professor Susan Rotroff,11/10/09,"American School of Classical Studies at Athens, Greece",,,,,Industrial Religion: Ritual Pyres at the Athenian Agora
378,RA-50055-07,For the Director's Lecture Series,Prof. Kathleen Warner Slane,10/19/10," American School of Classical Studies at Athens, Greece",,,,,A Decent Burial:  Commemoration and Community in Roman Corinth
406,RA-50033-05,"The large scale sculpture at Olympia, its themes, placement and relationship to each other, as well as to the events - political, athletic, and above all, religious - that occurred at the site.",Dr. Judith Barringer,6/29/10,"Victoria University, Wellington, New Zealand",,,,,"Gods, Heroes, Athletes &amp; Warriors: The Quest for Immortality at Olympia"
407,RA-50033-05,"The large scale sculpture at Olympia, its themes, placement and relationship to each other, as well as to the events - political, athletic, and above all, religious - that occurred at the site.",Dr. Judith Barringer,6/22/10,"Nicholson Museum, Sydney, Australia",,,,,"Gods, Heroes, Athletes &amp; Warriors:  The Quest for Immortality at Olympia"
423,PW-50315-09,General lecture on DARE.,"Hall, Joan Houston",04/29/2010,"Carthage College, Kenosha WI",,,,,The Dictionary of American Regional English
424,PW-50315-09,The editor of DARE explains that regional English has not been as homogenized as some people think.,"Hall, Joan Houston",04/20/2010,"The Caxton Club, Chicago IL",,,,,American English Dialects are Alive and Well
503,HD-51042-10,"Public presentations at National Library of Scotland, Edinburgh, 1 Nov. 2011; David Livingstone Centre, Blantyre, Scotland, 3 Nov. 2011; Birkbeck, University of London, 5 Nov. 2011. Presentation to staff at Bodleian Library, University of Oxford, 4 Nov. 2011.",Livingstone Spectral Imaging Team,11/1/2011,Edinburgh; Blantyre; Oxford; London,,,,,"“Dr. Livingstone’s Diary, I Presume?” "
525,HD-51042-10,"Public lecture at the National Library of Scotland, Edinburgh, 2 July 2010",Adrian S. Wisnicki,07/2/2010,"National Library of Scotland, Edinburgh",,,,,Spectral Imaging David Livingstone's 1870-71 Field Diary
528,TR-50008-08,"Duration: 1 hour, 30 minutes  In a loft at 821 Sixth Avenue in Manhattan, during the late 50's and early 60's, jazz musicians gathered nightly for jam sessions. WNYC is at work on the Jazz Loft Radio Project, a ten-part series using a treasure trove of tapes made in the loft by photographer W. Eugene Smith.  ""Jazz Loft Live"" will bring together musicians from that magical time -- who haven't performed together in decades -- including pianist Dick Katz, vibraphonist Teddy Charles, bass player Bill Crow and drummer Ron Free, to play in the exciting, spontaneous and free-wheeling style that characterized the Jazz Loft era. Project Director Sam Stephenson of CDS at Duke and Senior Producer Sara Fishko of WNYC, will also preview the upcoming Jazz Loft Project, sharing Smith's photographs and excerpts of the audio tapes. A Q &amp; A with the musicians will round out the evening.",Sara Fishko,05/07/2009,"WNYC, New York Public Radio",http://www.wnyc.org/thegreenespace/events/2009/may/07/jazz-loft-preview-performance-chat/,"Duration: 1 hour, 30 minutes  In a loft at 821 Sixth Avenue in Manhattan, during the late 50’s and early 60’s, jazz musicians gathered nightly for jam sessions. WNYC is at work on the Jazz Loft Radio Project, a ten-part series using a treasure trove of tapes made in the loft by photographer W. Eugene Smith.  “Jazz Loft Live” will bring together musicians from that magical time -- who haven’t performed together in decades -- including pianist Dick Katz, vibraphonist Teddy Charles, bass player Bill Crow and drummer Ron Free, to play in the exciting, spontaneous and free-wheeling style that characterized the Jazz Loft era. Project Director Sam Stephenson of CDS at Duke and Senior Producer Sara Fishko of WNYC, will also preview the upcoming Jazz Loft Project, sharing Smith’s photographs and excerpts of the audio tapes. A Q &amp; A with the musicians will round out the evening.",,,The Jazz Loft: A Preview Performance Chat
543,CZ-50173-08,"Lawrence Lessig, Roy L. Furman Professor of Law, Harvard University, &#x0D; and Director of the Edmond J. Safra Foundation Center for Ethics at Harvard University, presents a lecture about political corruption.",Lawrence Lessig,9/27/2011,"Brandi Hall, Kenyon College, Gambier, OH",http://www.youtube.com/kenyoncollegevideo#p/c/0/0kGPiTV3cWs,Videotape of Lessig's talk,,,An Address by Lawrence Lessig
546,HD-51328-11,"Roundtable on digital initiatives in the history of medicine presented at the 2011 annual meeting of the American Association of the HIstory of Medicine (AAHM), April, 2011","Laura Zucconi, Lisa Rosner",4/30/2011,American Association of the History of Medicine annual meeting 2011,http://www.histmed.org/documents/program 4 25 11.pdf,,,,Digital Media in the History of Medicine
547,HD-51328-11,"Presentation at the annual meeting of the International Visual Literacy Association (IVLA), September 2011","Lisa Rosner, Laura Zucconi",9/30/2011,International Visual Literacy Association annual meeting 2011,http://www.ivla2011.org/IVLA2011Schedule.pdf,,,,Pox and the City: Visual Literacy and Digital Games in the History of Medicine
645,FA-51529-05,Analysis of the ambiguous importance of legal irregularity in housing construction in Rio de Janeiro,Bryan McCann,03/10/2010,"University of Maryland, College Park",,,,,"“Informality and Citizenship in Twentieth-Century Rio de Janeiro,” "
647,FA-51529-05,Analysis of the Pastoral das Favelas and the Neighborhood Association Movement in 1970s Rio de Janeiro,Bryan McCann,05/23/2007,Northwestern University,,,,,Liberation Theology and Urban Reform in 1970s-1980s Rio de Janeiro
659,ED-50241-03,"This lecture explores the African influence on various types of Cuban dance, from the elegant ""contradanza"" of the early 1800's to the fusion dances of today, and including the development of danzón, rumba, mambo and conga.  The initial research into this subject was funded by a Focus Grant from NEH, ""The African Roots of Latin Music"" (2003-2004).",Ana Maria Hernandez,10/18/2011,SUNY Old Westbury,,,,,"""Two Hundred Years of Cuban Dance"""
695,FT-53647-05,"Gave lecture on Serving Their Country, marking Veteran's Day at the National Museum of the American Indian, Washington DC.",Paul C. Rosier,11/11/2009,"National Museum of the American Indian, Washington DC",www.nmai.si.edu/press/releases/20091022 HeritageMonth.pdfSimilar,,,,Veteran's Day Keynote Lecture
699,MR-50075-10,"Teran is a member of the Eastern Shoshone tribe and works as a cultural and technological consultant for the Wind River Native Science Field Center in Fort Washakie, Wyoming. She provided two family programs focused on personal experiences that she is using to write a book. In a third program, she  discussed the traditional uses of the bison for the Eastern Shoshone tribe.",Reba Teran,04/24/2010,"Fort Caspar Museum, Casper, Wyoming",,,,,Storytelling with Reba Teran
702,MR-50075-10,"Annin Soldier Wolf and his children gave three public presentations about family history as well as Northern Arapaho traditional&#x0D; dress, song, and dance. The Soldier Wolf family is&#x0D; from St. Stephens, Wyoming. Annin Soldier Wolf is an accomplished traditional artist and participates in the Folk Arts Mentoring Program offered by the Wyoming Arts Council, teaching beading and&#x0D; hide work to an apprentice.",Annin Soldier Wolf,05/01/2010,"Fort Caspar Museum, Casper, Wyoming",,,,,Northern Arapaho Traditions
708,MR-50102-11,"Trumbull discussed his family ties to teh ranching community in Natrona County. He is the great-great-grandson of Bryant B. Brooks, who eastablished ranches in teh area in the 1880s and served as Wyoming's governor from 1905-1911. Trumbull's presentation featured photographs, stories and artifacts from five generations about the Banner Ranch, the Buzzard Ranch and the V-V Ranch. Con Trumbull was born in Casper and continues to live at the Banner Ranch. He spent much of his childhood exploring and working with his grandfather on the ranch.",Con Trumbull,04/09/2011,"Fort Caspar Museum, Casper, Wyoming",,,,,From Buckboards to Flatbeds: Five Generations of Wyoming Ranching
709,MR-50102-11,"David Romtvedt married into a Basque family and spent ten years as a sheep ranch hand. His presentation focused on his personal experience and daily life, from chores to the sharing of stories and music traditions.&#x0D; &#x0D; He teaches in the MFA program for writers at the University of Wyoming and served as the state's poet laureate. He is a receipient of a Wyoming Arts Coundil literature fellowship and the Wyoming Governor's Arts Award. He lives in Buffalo, Wyoming. He first came to Wyoming as a resident at the Ucross Foundation",David Romtvedt,4/23/2011,"Fort Caspar Museum, Casper, Wyoming",,,,,Hard Work and Big Music: Basque Immigrant Life in Northern Wyoming
711,MR-50102-11,"Families were invited to join Katie Keith for an informal presentation about life on a working ranch. During the 30-minute program, she discussed her duties on the family ranch and shared photographs from these activities. Katie is a thirteen year old student who is active in 4-H. She was recommended by staff at the Natrona County Cooperative Extension Office.",Fort Caspar Museum,05/21/2011,"Fort Caspar Museum, Casper, Wyoming",,,,,A Day in the Life of Katie Keith
713,MR-50102-11,"Donna Cuin, the Horticulture Specialist with the Natrona County Agricultural Extension Office, provided a hands-on program connection pioneer homesteads to 21st century energy conservation. She focused on the importance of wind breaks, historically and today. Program participants learned how to properly plant and care for a tree, and worked together to plant three new trees on the museum grounds. These trees replace a dead cottonwood on the grounds. FCM staff worked with the city's arborist to facilitate the hands-on activity",Donna Cuin,05/21/2011,"Fort Caspar Museum, Casper, Wyoming",,,,,From Pioneer Homesteads to 21st Century Energy Conservation
732,FB-38683-03,Public lecture,Meredith J. Gill,11/11/2010,Villanova University,,,,,"""Augustine and the Italian Renaissance"""
733,FB-38683-03,Public lecture,Meredith J. Gill,04/17/2008,"John Carroll University, Cleveland",,,,,"""Augustine and His Heaven"""
734,FB-38683-03,Public lecture,Meredith J. Gill,04/16/2008,"Indiana University, Bloomington",,,,,"""Augustine and Renaissance Angels"""
754,FA-50250-04,Invited Lecture,Nigel Rothfels,03/18/2010,"Michigan State University, Lansing",,,,,"""Trophies and Remorse: Shooting with Mixed Feelings in the Nineteenth Century"
757,FA-50250-04,Invited Lecture,Nigel Rothfels,2/24/2010,"Kaplan Humanities Center, Northwestern University",,,,,Delia and the Elephant: Hunting and Taxidermy
763,FA-50250-04,No abstract available.,Nigel Rothfels,12/07/2007,University of Oslo,,,,,The Mirror in the Eye: Making Sense of Elephants
764,FA-50250-04,No abstract available,Nigel Rothfels,05/26/2007,"London, England",http://www.animalsandsociety.org/assets/library/731 s10.pdf,,,,Following the Spoor / Writing History
774,FA-50250-04,No abstract available,Nigel Rothfels,3/16/2007,University of Toronto,,,,,The Elephant in the Room: Animals and History
776,FA-50250-04,No abstract available,Nigel Rothfels,02/02/2007,York University Toronto,,,,,Looking at Elephants
879,FB-37629-02,"The John Durang project resulted in a summer performance run at the Hole in the Wall Puppet Theatre in Lancaster, PA, of a script and show Lynn Brooks created with collaborator Rob Brock, Artistic Director of Hole in the Wall Puppet Theatre, which played three weekends in June 2004. In that show, Brooks and Brock acted, sang, danced, and did puppetry. The show later played for one weekend at Franklin &amp; Marshall College","Robert Brock, Lynn Brooks",12/4/04,"Hole in the Wall Puppet Theatre, Lancaster, PA",http://www.holeinthewallpuppets.com/Hole in the Wall Puppet Theatre/Home.html,"Website for Hole in the Wall Puppet Theatre, including the John Durang Puppet Museum.",,,John Durang: Man of the American Stage
925,HD-50776-09,"Talk focused on need for more cultural diversity in the digital humanities.  I spoke about how our project involves Native American students from tribal colleges and Native American elders and language carriers.  The knowledge possessed by elders can enhance metadata of libraries, museums, and archives.  I gave examples of how NEH ODH grant has been used to enhance the understanding of the Native American collection at the American Philosophical Society, where I am the Director of Native American projects.",Timothy B. Powell,05/26/11,"Digital Americanists section, American Literature Association conference Boston",,,,,"Digitally Recovering the Native American Oral Tradition, the Lost History of American Literature"
926,HD-50776-09,"The talk was presented at the University of Virginia at a conference sponsored by Jerome McGann, featuring some of the most accomplished digital archive projects in the U.S.  I spoke about the NEH ODH project and how we were exploring adding more cultural diversity to the digital humanities.  I also spoke about the challenges of working in rural America and the digital divide that makes it difficult to provide access to rural, Native American communities.",Timothy B. Powell,03/26/2010,"University of Virginia, ""Online Humanities Scholarship: The Shape of Things to Come"" conference",http://shapeofthings.org/,website with information about conference,,,“Negotiating the Cultural Turn in the Digital Humanities”
927,HD-50776-09,"Spoke about the use of Drupal as a way to allow Native American teachers, students, and elders to participate more fully in the development of the Gigabadinamaagoom website.  Also addressed the issue of how NEH grants were allowing us to build partnerships between established institutions like Penn Museum and American Philosophical Society with tribal colleges in Indian Country.","Bethany Nowviskie, Timothy B. Powell",02/17/2010,"Center for New Designs in Learning and Scholarship, Georgetown University",,,,,“Negotiating the Cultural Turn in the Digital Humanities”
971,FT-51453-03,"Hanukkah's transformation into one of the most popular Jewish holidays in America began in the nineteenth century, with new hymns for adults, new synagogue-based festivals for children, and debates about Judaism's future among rabbis. Twentieth century additions to the holiday included added concerts, plays, and public events that expressed worries about Judaism's future in America.",Dianne Ashton,12/15/2005,"Fairfield University, Fairfield, Connecticut",,,,,"""Quick to the Party: The Americanization of Hanukkah"""
977,FA-37647-03,I discussed the biographical and historical context for Parker's first professionally produced stage play.,Marilynn Richtarik,11/17/2010,"Queen's University, Befast",,,,,"""The Factual Basis of Stewart Parker's 'Spokesong'"""
992,FB-52649-06,"Examining the apparently divergent poetics and clearly different styles of poetry associated with the work of Thylias Moss and Charles Bernstein, the talk described the poets' shared assumptions about poetry without obscuring the ways in which their poetic styles differ.",Lisa M. Steinman,3/14/2008,Vanderbilt University/ Rheney Speaker,,,,,The Pressures of Reality:  American Poetry in the Eighties
1002,FB-52999-07,See a complete listing at www.BlackWalden.com,Elise Lemire,05/16/2009,Various,http://www.blackwalden.com/signing.html,"List of presentations, conference papers, and readings on the author's website for Black Walden.",,,Over 20 Additional Public Presentations and Conference Papers on Black Walden
1021,FB-51501-05,I discussed the chapter outline and content of my book about the Cosquín Festival.,Jane L. Florine,3/11/10,Chicago State University Provost's Colloquium,,,,,A Hymn to Cosquín:  Music and Meaning at Argentina's National Folklore Festival
1022,FB-51501-05,I discussed the content of my book about the Cosquín Festival and provided a chapter outline.,Jane L. Florine,6/26/07,"Instituto Universitario Nacional del Arte, Buenos Aires, Argentina",,,,,Un himno a Cosquín:  Música y significación en el Festival Nacional de Folklore argentino
1023,FB-51501-05,"At the National Folklore Festival held in Cosquín, Argentina, the relationship of tradition, modernity, and identity so present in Latin America is manifested through music:  a conflict exists regarding what ""musical folklore"" is and thus which genres, styles, and musical instruments to permit.  Some involved think that ""authentic"" folklore is only the most traditional type, but others believe it includes modernized folk/popular music.  By means of this aesthetic controversy, Argentine identity is negotiated.  Cosquín Festival organizers want to preserve ""authentic"" national culture yet at the same time permit originality of creation in folk/popular music and dance amidst globalization and the arrival of other musics, ideologies, and technologies.  The Pre-Cosquín Competition for new talent, held the two weeks prior to the Festival proper each year, carries out this objective:  2500 semifinalists from over 50 regional centers compete to earn the right to perform at the Festival and be named the Festival's ""Revelation.""  In this paper, I explain what is being done to negotiate the confrontation of musical values in the Pre-Cosquín Competition process.  Data are based on fieldwork done with Festival organizers, Pre-Cosquín jury members (criteria used), participants, and the experience of having served as a Pre-Cosquín Festival inspector. ",Jane L. Florine,4/13/06,University of Chicago EthNoise! Ethnomusicology Workshop,,,,,Musical Aesthetics and Argentina's National Folklore Festival
1103,FA-50013-04,major themes from book,Colin Gordon,11/01/2010,Brown University,,,,,Mapping Decline: St. Louis and the Fate of the American City
1105,FA-50013-04,major themes from book,Colin Gordon,01/29/2011,"St. Louis ",,,,,The Geography of Inequality in St. Louis
1106,FA-50013-04,"plenary address, Transportation Engineering Association of Metropolitan St Louis",Colin Gordon,11/03/2009,"Maryland Heights, MO",,,,,Making St. Louis
1108,FA-50013-04,"invited talk at George Warren Brown School of Social Work, Washington University,",Colin Gordon,03/17/2009,St. Louis,,,,,Community Decline and Development in Greater St. Louis
1110,FA-50013-04,invited talk at New School,Colin Gordon,03/07/2009,New York,,,,,St. Louis Blues: Mapping the Decline of an American City
1111,FA-50013-04,"plenary address, East-West Gateway Coordinating Council Annual Meeting, November 2008",Colin Gordon,11/11/2008,St. Louis,,,,,St. Louis: Historical Perspectives and Current Challenges
1112,FA-50013-04,talk at St. Louis Community College,Colin Gordon,11/08/2008,St. Louis,,,,,St. Louis Blues: Mapping the Decline of an American City
1113,FA-50013-04,themes from book,Colin Gordon,03/29/2012,"Columbia, MO",,,,,Mapping Decline: St. Louis and the Fate of the American City
1114,FA-50013-04,"East-West Gateway Coordinating Council, June 2008",Colin Gordon,06/06/2008,St. Louis,,,,,Mapping Decline: The Urban Crisis in Historical Perspective
1116,FA-50013-04,"plenary address at the annual meeting of the Economic Analysis and Research Network, St. Louis, September 2006",Colin Gordon,09/11/2006,St. Louis,,,,,St Louis Blues: Public Policy and the Urban Crisis
1117,FA-50013-04,"Columbia University seminar on Twentieth Century Politics and Society, January 2006",Colin Gordon,01/12/2006,New York,,,,,Race and Realty in Greater St. Louis
1118,FA-50013-04,"at Missouri Supreme Court Historical Society, November 2005",Colin Gordon,11/11/2005,"Jefferson City, MO",,,,,Mapping St. Louis
1140,FT-52626-04,"Inspiration for the ongoing Shirlington series ""Films of Orson Welles,"" author Marguerite H. Rippy will discuss her pioneering in-depth examination of early film and radio projects shelved by RKO or by Welles himself. Book-signing to follow at the Shirlington Busboys and Poets.",Marguerite H. Rippy,09/20/2009,"Shirlington Public Library and Busboys and Poets, Arlington, VA",http://libcat.arlingtonva.us/iii/encore/search;jsessionid=823CBCCEC5DF6010BA53384F1F038F28?lang=eng&amp;target=rippy&amp;btnG.x=0&amp;btnG.y=0&amp;site=Library Pages&amp;output=xml no dtd&amp;proxystylesheet=library&amp;client=library&amp;proxyreload=1&amp;collection=1,Shirlington Public Library Events: Calendar,,,Author Talk/Film Showing on Orson Welles
1171,FA-52436-06,"""Wat passe?"". What has happened to Italian language and identity in the European scenario of Diego Marani's fiction? ""Aqui in Venezia sumus, keine Paris!""… Really? An Italian newspaper columnist, novelist and translator for the Council of the European Union, Diego Marani invented an artificial language called Europanto in which he has been writing articles and short stories since 1996. More than a mock international language with a provocative aim, Europanto offers the model for a non-hierarchical European subjectivity that erodes national linguistic barriers and also the all-encompassing power of English as Europe's alleged lingua franca.&#x0D; ""Eh? Wat signifique?"" ""No! No esse so facile!""&#x0D; &#x0D; ",Nicoletta Pireddu,11-16-2010,Italian Cultural Institute of Washington DC and Georgetown University,http://www.iicwashington.esteri.it/IIC Washington/webform/SchedaEvento.aspx?id=291,,,,"“’De pizza habe disappeared!”. Italy, Europe, Europanto”"
1230,EE-50022-04,"The advent of digital technologies opens unprecedented scenarios for a transformative transmission and dissemination of Italian culture. At a time when the survival of the humanist ‘tradition' is in question, ‘virtual heritage' aims to preserve the material past in a new dimension. Yet, a sustainable cultural past, a living cultural memory, depends on a continuous process of translation and adaptation - linguistic, cognitive and technological. Digital libraries, open archives, the whole architecture of the semantic web configure novel possibilities of accessing, and reinventing, the (Italian) humanist tradition. Presentation of the VHL as a platform for a creative transmission of Italian cultural artifacts.",Massimo Riva,4-25-2008,Society for Italian Studies,http://www.sis.ac.uk/cgi-bin/safeperl/sisinfo/sistine.pl,,,,The Uncertain Future of Tradition: Virtual Heritage and a Sustainable Past
1234,EE-50022-04,"A public presentation and performance featuring the Garibaldi Panorama, one of the leading projects of the Virtual Humanities Lab.",Massimo Riva,6-15-2010,"Italian Cultural Institute, London",,,,,The Garibaldi Panorama: a lecture and performance
1242,FA-52915-07,This event invited New York high school students to spend the afternoon learning about the New York African Free School. I crafted a lesson plan for the material and engaged the students in lively discussion. The expertise I gained researching the school during my NEH faculty grant has led to this collaboration with the New-York Historical Society.,Anna Mae Duane and Thomas Thurston,2/8/2008,New-York Historical Society,http://www.highbeam.com/doc/1P3-1436626441.html,,,,"Speaker and Facilitator, Media Reception for Hope is the First Great Blessing: Leaves from the New York African Free School Presentation Book, New-York Historical Society, February, 2008"
