311,CH-50824-11,"One question that often surfaces about historical prints is the accuracy of images. Did makers of nineteenth-century city view portray cities as they actually were? Do history prints present myths or truth? How often did print publishers gloss over reality to present heroism or an optimistic view of society? The Fourth CHAViC Conference seeks to address some of these questions among others. The presentations by scholars from a variety of disciplines addressed American identity consumption of historical prints, reform prints, artistic license, the exchange of imagery between America and Europe, the distribution of urban imagery on Staffordshire pottery, and presidential portraiture.","Mark Thistlethwaite, Professor of art history, TCU, an authority on history painting",2010,,http://www.chavic.org/Pastconferences2010.htm,Conference brochure,,,"""History Prints: Fact and Fiction”"
312,CH-50824-11,"This seminar enabled participants to take advantage of the AAS collection of eighteenth- and nineteenth-century prints, maps, sheet music covers, and ephemera of all kinds. There were guided tutorials as well as hands-on explorations of a topic of specific interest. Topics included colonial prints, antebellum images of Native Americans, western landscape photography, chromolithography, and the etching revival. Participants were able to pursue research in the AAS collection as a part of the seminar.","David Jaffee, professor of early American history and material culture at the Bard Graduate Center f",2009,"Worcester, MA",http://www.chavic.org/Pastseminar2009.htm,Seminar description on AAS website,,,"""Interpreting Historical Images for Teaching &amp; Research"" "
313,CH-50824-11,"Sessions at this summer seminar will focus on the history of print production in the eighteenth and nineteenth centuries; interpreting portrait paintings, prints, and photographs; ""reading"" illustrations in popular journals; and related topics. Participants will also have access to the Society's varied collections of visual materials to pursue their own interests.","David Jaffee, professor of early American history and material culture at the Bard Graduate Center f","June 20-25, 2010","Worcester, MA",http://www.americanantiquarian.org/chavicsummer2010.htm,Seminar description on AAS website,,,"""Interpreting Historical Images for Teaching &amp; Research"" "
314,CH-50824-11,"Sessions at this summer seminar will focus on the history of print production in the eighteenth and nineteenth centuries; interpreting portrait paintings, prints, and photographs; ""reading"" illustrations in popular journals; and related topics.","Louis P. Masur, the William R. Kenan, Jr. Professor of American Institutions and Values at Trinity C","June 19-24, 2011","Worcester, MA",http://www.americanantiquarian.org/chavicsummer2011.htm,Seminar description on AAS website,,,"""Picturing Reform: How Images Transformed America, 1830-1880"""
359,RA-50055-07,Workshop for ASCSA Regular Students organized by Professor Margaret Miles.,Professor Harriet Blitzer,3/4/09,"American School of Classical Studies at Athens, Greece",,,,,Regional Variation in Aegean Subsistence Systems
366,RA-50055-07,Renaissance Society of America,Dr. Diana Wright,3/24/11-3/26/11,"Montreal, Quebec",,,,,The Renaissance Returns the Favor: The Influence of the Court of Pesaro in the Morea
409,RA-50033-05,Research seminar,Dr. Judith Barringer,3/1/09-3/5/09,University of Manchester,,,,,The Olympic Altis in 476
416,PJ-50045-09,"Meeting of newspaper publishers, journalists, commercial vendors, and non-profit organizations seeking to understand the changing life-cycle of physical and born-digital newspapers.",Donald W. Reynolds Journalism Institute,"April 10-12, 2011","University of Missouri, Columbia ",http://www.rjionline.org/events/newspaper-archive-summit,"Website includes agenda, biographies for presenters and panel members, and several recorded sessions. ",,,The Newspaper Archive Summit
433,HD-51110-10,"""Francesco Petrarca from Manuscript to Digital Culture"" was a day-long symposium held in April of 2010. This symposium was instrumental in the successful writing of the grant. Hosted by Massimo Lollini and the Romance Languages Department at the University of Oregon, the event was conceived of in conjunction with the graduate seminar ""Humanism and Culture of the Book"" co-taught by Massimo Lollini and Leah Middlebrook the spring of 2010 and was attended by an international, multigenerational cohort of scholars and readers.","Nathalie Hester, Massimo Lollini, and Leah Middlebrook",04/03/2010 - 01/31/2011,University of Oregon,http://journals.library.oregonstate.edu/hsda/issue/view/1/showToc,"The publication of the Proceedings of the International Symposium, ""Francesco Petrarca: from manuscript to digital culture,"" in January 2011 was partially made possible by the grant.",,,"""Francesco Petrarca: from manuscript to digital culture"""
1000,FB-52999-07,"Making Freedom: Evolution and Revolution in the Realization of an American Ideal is a three-year, $979,475 Teaching American History (TAH) grant through the United States Department of Education. This award will enable five partnering public school districts—Burlington, Bedford, Lexington, Woburn, and Somerville–to appreciably strengthen their programs to teach traditional American history as a separate academic subject in grades three to five and eight to eleven. ""Doing Massachusetts History: 1620-1812"" was one of the seminars offered in the summer of 2011.  ""Slavery and Freedom in Concord, MA"" was taught as part of that seminar.",Elise Lemire,08/19/2011,"Minute Man National Historical Park, Concord, MA",http://info.tahmakingfreedom.org/?page id=423,"Course Descriptions for the ""Making Freedom"" program.",,,"Slavery and Freedom in Concord, MA"
1001,FB-52999-07,"Part of a Teachers Summer Institute at the Museum of African American History in Boston, MA",Elise Lemire,06/30/2011,Museum of African American History,http://www.maah.org/education.htm,Educational Programs page at the Museum of African American History's website,,,Teaching Massachusetts Slavery
1231,EE-50022-04,A presentation of the VHL and the Garibaldi &amp; the Risorgimento project as a platform for collaborative research in the history of culture.,Massimo Riva,3-29-2010,École Normale Superieure,,,,,Digital Resources for Historical Research
1336,HD-51244-11,"To tackle increasingly large digitized archives of text, the digital humanities community has responded with an avid interest in text mining and visualization. Everywhere one looks these days, computer scientists are bringing text analysis to humanities scholars with tutorials, workshops, and toolkits. Nevertheless, crucial information is being lost in translation. If text analysis toolkits are to be truly successful, information needs to start flowing the other way and computer scientists must learn from humanities scholars what humanistic text analysis really means. If not, they will continue making ""natural"" assumptions that do not always translate into the humanities. For example, concepts like ""question"", ""hypothesis"", ""data"", ""evidence"" are always well-defined in scholars' minds and are universal to all analysis. In the extreme case, this misalignment of basic assumptions could lead to fleets of powerful text analysis tools that nobody knows how to actually apply to humanistic analysis.",Aditi Muralidharan,2011-09-20,"Maryland Institute for Technology in the Humanities, B0131 McKeldin Library, College Park, MD",http://mith.umd.edu/podcast/?podcast=112,Podcast and Slides on the Institute's web page.,,,Large Scale Text Analysis in the Humanities: Methods and Challenges
1389,FS-50092-06,two panel sessions at the 2008 Sixteenth Century Studies Conference,"Graham, Michael, and 4 other seminar members",10/15-16/2008,St. Louis,,,,,"""Reformation of the Book"""
1419,EH-50075-06,Academic conference about O'Connor that brought back to campus several of the NEH Institute participants. Approx. 350 attendees total. &#x0D; &#x0D; 11 paper presentations were by NEH Institute participants; two other participants were part of a panel of 9 NEH Institute participants who discussed their experiences teaching O'Connor.,,2-5 April 2008,"GCSU, Milledgeville",,,,,The Stories of Flannery and Faulkner
1420,EH-50075-06,"Academic conference on O'Connor which brought back to GCSU several of the 2007 NEH Institute participants, 11 of whom presented papers. Total conference attendance approx. 450. &#x0D; ",,13-16 Apr. 2011,"GCSU, Milledgeville, GA","http://www.gcsu.edu/startlingfigures ","Contains conference program, registration info, speaker info, etc. ",,,Startling Figures: A Celebration of the Legacy of Flannery O'Connor
1480,FS-50103-07,A conference organized on Scottish and German aesthetics as a follow-up conference to the NEH seminar.,Emily Brady,12/15/11-12/16/11,"School of Geography, Edinburgh University, Edinburgh, Scotland",http://www.ppls.ed.ac.uk/philosophy/events/view/enlightenment-aesthetics-and-beyond,Event description and program.,,,Enlightenment Aesthetics and Beyond
4236,HK-50021-12,Dr. Flanagan was invited to attend a high-level meeting by the Institute of Museum and Library Services (IMLS). This small meeting of approximately 40 colleagues focused on national digital initiatives and the desired impacts of federal funding for libraries.,IMLS,April 2014,NYPL,,,,,The Future of the Library
11179,EH-50366-13,"Roundtable organized for the Society for the Study of Southern Literature, March 2016. The organizer also presented a paper during the roundtable about ""the feather"" in O'Connor.",Gina Caison,3/10/2016,Boston University,,,,,The Objects of O’Connor: A Roundtable Reconsidering Flannery O’Connor
17587,RZ-249777-16,"""The ‘Church Wreck' and Beyond: Marzamemi Maritime Heritage Project, 2013-2019."" Colloquium session at the 121st Annual Meeting of the Archaeological Institute of America, Washington, D.C., 2-5 January 2020.",J. Leidwanger,1/4/2020,"Washington, D.C.",,,,,"The “Church Wreck” and Beyond: Marzamemi Maritime Heritage Project, 2013-2019"
1495,HD-51330-11,"A growing area of interest in the digital humanities is the mobile environment, especially projects that take advantage of the affordances of smart phones and tablets. This course, derived from the Mobile Tech Research Initiative of The Creative Media &amp; Digital Culture Program at Washington State University Vancouver (http://van-dtc356.vancouver.wsu.edu/appcamp/), is aimed at assisting participants to: 1) conceptualize the space and special features of mobile devices; 2) develop the architecture, design, and multimedia content production for a mobile project; and 3) understand the coding and programming requirements for mobile devices. By the end of the course, participants will have the information they need for creating projects for the mobile environment and will have completed steps toward the development of their own projects","Brett Oppegaard , Will Leurs , Dene Grigar, John Barber",6/4-8/2012,"University of Victoria, British Columbia, Canada",http://dtc-wsuv.org/wp/dhsi/,This is the website for the Digital Humanities Summer Institute at the University of Victoria,http://dhsi.org/courses.php,This is the website for the Digital Humanities Summer Institute at the University of Victoria,Teaching App Design and Development
1499,AC-50089-11,"On November 9 and 15, 2011, over 100 scholars, students, ethnic community leaders, activists, representatives of the media and interfaith groups from SoCal gathered along with CSUN faculty from the new minor initiative in Middle Eastern and Islamic Studies Program (MEIS) at the MEIS Symposium. The symposium was to discuss with 12 distinguished experts invited to CSUN. This symposium was funded by an NEH grant and directed by Dr. Nayereh Tohidi. It aimed to help CSUN faculty with curriculum development and provided the participants with an opportunity for exchange of ideas, experiences, and best practices concerning pedagogical challenges in MEIS. Selected parts of the proceedings of this symposium will be featured on this website later.      ",Nayereh Tohidi,"November 9 &amp; 15, 2011","California State University in Northridge, California",http://www.csun.edu/meis,"On November 9 and 15, 2011, over 100 scholars, students, ethnic community leaders, activists, representatives of the media and interfaith groups from SoCal gathered along with CSUN faculty from the new minor initiative in Middle Eastern and Islamic Studies Program (MEIS) at the MEIS Symposium. The symposium was to discuss with 12 distinguished experts invited to CSUN. This symposium was funded by an NEH grant and directed by Dr. Nayereh Tohidi. It aimed to help CSUN faculty with curriculum development and provided the participants with an opportunity for exchange of ideas, experiences, and best practices concerning pedagogical challenges in MEIS. Selected parts of the proceedings of this symposium will be featured on this website later. Speakers were:    ",,,THE MIDDLE EAST ACROSS THE CURRICULUM
1505,RZ-50334-05,"Presentation in the graduate seminar, ""Crete: History and Culture (ca. 1190-67 B.C.E.)"" (P. Perlman), Department of Classics, University of Texas at Austin, September 17, 2007.",Donald C. Haggis,9/17/2007,"Department of Classics, University of Texas at Austin",,,,,Azoria (Crete) in the Early Iron Age-Archaic Transition
1546,HD-51330-11,"The Fort Vancouver Mobile Team hosted John Tobiason, the Director of New and Social Media for the National Park Service, who visited from Maryland. Among the high points of the two hour meeting: Dene Grigar and Greg Shine presented information on their digital storytelling class the next semester that plans to contribute to the FVM project; Graphic designer Marsha Matta shared her work in the design of the app; Video expert Troy Wayrynen explained his work with the Paul Crane module; and Will Luers, WSUV faculty and video expert,  described his apple tree project, among many other presenters.   Participants then broke out into small groups to help envision where the project would go during the next year.  In the time preceding and following the meeting, FVM leaders Dene Grigar and Brett Oppegaard exchanged ideas with John Tobiason, and established avenues for future endeavors with the National Park Service.","Brett Oppegaard, Dene Grigar",12/12/11,Washington State University Vancouver,,,,,Fort Vancouver Mobile Team Hosts John Tobiason
1547,HD-51330-11,"The Fort Vancouver Mobile Team hosted John Tobiason, the Director of New and Social Media for the National Park Service, who visited from Maryland. Among the high points of the two hour meeting: Dene Grigar and Greg Shine presented information on their digital storytelling class the next semester that plans to contribute to the FVM project; Graphic designer Marsha Matta shared her work in the design of the app; Video expert Troy Wayrynen explained his work with the Paul Crane module; and Will Luers, WSUV faculty and video expert,  described his apple tree project, among many other presenters.   Participants then broke out into small groups to help envision where the project would go during the next year.  In the time preceding and following the meeting, FVM leaders Dene Grigar and Brett Oppegaard exchanged ideas with John Tobiason, and established avenues for future endeavors with the National Park Service.","Brett Oppegaard, Dene Grigar",12/12/11,Washington State University Vancouver,,,,,Fort Vancouver Mobile Team Hosts John Tobiason
1697,FT-53201-05,"This seminar explores literature's complex interactions and exchanges with commodity culture, both before and after Marx. Offered as a session of the Kansas State University Regional Conference on Literature Studies.",Sean C. Grass,04/14/2012,"Kansas State University, Manhattan, KS",,,,,Literature and Commodity Culture
1944,EH-50075-06,"Five participants in the NEH O'Connor Institute presented O'Connor papers at the ALA conference in Savannah, Oct. 2010. J. Ramsey Michaels presented ""Parker and Sarah Ruth: The New Testament Wedded to the Old,"" Linda Rohrer Paige presented ""Monkeying Around at the Tower: The Pitstop at Red Sammy's in the ""'Race"" of Man' in Flannery O'Connor's 'A Good Man Is Hard to Find,'"" Carolyn M. Kerr presented ""Why Do You Call Me Good?"" Barbara Zimmermann Bogue presented ""Red Sammy: Vital to the Grandmother's Characterization and to the Plot of 'A Good Man Is Hard to Find,'"" and Roger Stanley presented ""'Europe Act[ing]': Of Trans-conglomeration and Global Branding in a Post-Tower Millenium""","J. Ramsey Michaels, Linda Rohrer Paige, Carolyn M. Kerr, Barbara Zimmermann Bogue, Roger Stanley",10/8-9/2010,"Savannah, GA",,,,,O'Connor sessions at American Literature Association conference
1946,EH-50075-06,"Conference presentation at Rome, Italy, O'Connor conference",Steve Watkins,2009,"Rome, Italy",,,,,"""What's a Good Catholic like Flannery O'Connor Doing with a Heretic"""
18999,FEL-257846-18,"A preview of the forthcoming book on Islam and the Spice for ""Connected Histories of the Renaissance,"" a summer Institute at Georgetown University for K-12 teachers.",Joel Blecher,08/03/2020,Zoom (hosted by Georgetown),,,,,"""Connected Histories of the Renaissance"""
19010,CH-233773-16,"Due to Covid-19, Humanities Texas has been offering their institutes and workshops virtually. Upcoming programming includes a variety of options relating to Texas and United States History, Civics, Reading, and Writing.",Various,Ongoing,Virtual,https://www.humanitiestexas.org/education/teacher-institutes/upcoming-institutes,This page offers descriptions of Humanities Texas's upcoming virtual institutes and seminars for teachers.,,,Upcoming Institutes and Workshops
2011,BC-50531-10,"""One of the goals of the Five Tribes Story Conference is to establish a sense of family among participants and attendees until the rolls are blurred"" stated Co-host Tim Tingle in his opening remarks. The intent of the conference was to merge practice and theory in the interpretation of folklore, oral tradition, scholarship and literature of the Cherokee, Chickasaw, Choctaw, Muscogee (Creek) and Seminole Tribes. The goal was to provide an enriching Southeastern Tribal environment, joining academic, interpretive, literary, art and performance disciplines. Cultural presentations, literary readings and panel discussions were followed by questions from the audience. The Five Tribes Story Conference serves as an inspirational springboard for working and future writers, poets, film-makers, painters and musicians. In addition to enjoying the visual arts, attendees had the opportunity to hear ""stories-behind-the-stories"" told by modern heroes of the Indian world. Evening concerts were a strong reflection of the conference goals by including authors, poets, musicians, language instructors, and storytellers portraying their common pursuit of conveying the Five Tribes stories. Ideas discussed during the day were brought to life with the evening performances.&#x0D; ",Five Civilized Tribes Museum,"September 16-17, 2011","Bacone College, Muskogee, Oklahoma",,,,,Five Tribes Story Conference
2014,SO-50383-10,"This public policy forum aimed at understanding the interconnected and multiple historical, policy, and biopolitical dimensions of water politics. Accordingly, humanities scholars from History and Political Science examined the influence of water on the development of society in the Southwest of the United States. Following this historical assemblage of water as it unfolded within a regional and local setting, the program then focused on water from a policy perspective taking into account the relevant regional, national, and global context. In this phase of the forum, then, political scientists discussed the policy framework that governs the use of water at the national level and among the states in the United States. Acknowledging that the politics of water transcends borders, the policy dimension of water concluded with a focus on the role of international organizations in shaping a global water governance structure. Finally, the lecture portion of the program concluded with a discussion on the relationship between the quality of life and the sustainable availability of clean water in Oklahoma.",Cameron University,"October 7, 2011","Cameron University, Lawton, Oklahoma",,,,,A Limitless One Percent?: Framing Water Politics for a 21st Century Oklahoma
2076,PW-50551-10,"Winchester, Simon: ""Fixing the Fugitive Tongue""&#x0D; Adams, Michael: ""DARE, Literature, and Regional Identity""&#x0D; McKean, Erin: ""A Wealth of Words""","McKean, Erin, Winchester, Simon, Adams, Michael","May 3, 2012","University of Wisconsin-Madison, Pyle Center ",,,,,DARE and American Dictionaries: A mini-conference celebrating the Dictionary of American Regional English
2121,RQ-50431-10,"A joint presentation on the entire research project for a mixed public that included undergraduates, graduates, faculty colleagues and interested members of the wider Athens Georgia community.","Wright, Elizabeth R., Spence, Sarah, Lemons, Andrew","March 23, 2012",,,,,," “Latin Poets and the Battle of Lepanto,”"
2122,RQ-50431-10,"Joint presentation to the University of Georgia, Department of Romance Languages, colloquium.  We conducted it in a workshop fashion, sharing texts and interpretations, while inviting the public to contribute.","Spence, Sarah, Wright, Elizabeth R.","October 10, 2010",,,,,,Reflections on Emerging Modernity: Notes from an Interdisciplinary Collaboration
2126,CZ-50173-08,"Held over the course of three days, the conference took place on the Kenyon campus in Gambier, Ohio, and involved broad student, faculty, and campus participation. The conference included public panels and private discussions, with participants from a variety of fields: journalists, academics from a variety of disciplines, political actors, policy analysts, and representatives of non-governmental organizations involved in the work of democratization. Panels looked at the political, economic, and social aspects of democracy, as well as how or to what extent the promotion of democracy coheres with the principles and values of the United States. While recent developments in the Middle East made the conference topic timely, panelists considered a broad spectrum of regions and questions, including:&#x0D; &#x0D; What are the prospects for democracy in the Middle East, after the Arab Spring?&#x0D; &#x0D; Is it in America's national security interest to promote democracy abroad?&#x0D; &#x0D; What can we learn from experiences with democracy promotion outside the Middle East?&#x0D; &#x0D; What are the underpinnings or prerequisites of successful liberal democracies?&#x0D; &#x0D; What are the practical impediments to the further spread of democracy?&#x0D; ","Zalmay Khalilzad, Elliott Abrams, Nicholas Burns, John Agresto, Karan Bhatia, Danya Greenfield, James Zogby, Al Hunt, Judy Woodruff, Scott Carpenter, Anthony Cordesman, Charles Kesler, Michael O'Hanlon, Tony Smith, Nadia Diuk, Morton Halperin, Adam Przeworski, John D. Sullivan, Les Campbell, Tom Garrett, Melinda Haring, David Kramer, Jamila Raqib, Larry Diamond","April 12-14, 2012","Kenyon College, Gambier, OH",http://www.kenyon.edu/x58399.xml,"Conference overview with links to videos and speaker biographies, as well as schedule of events.",,,Should America Promote Democracy Abroad?
2311,RQ-50471-10,"This paper speaks to what some in American Indian Studies have suggested is the Native Atlantic world, or the Atlantic world through Native eyes.  It demonstrates how during the Early Modern Period, American Indians were exploring and redefining their status as ""subjects of the crown"" in an increasingly violent colonial world, eventually leveraging that status against the colonies' reckless land policies.  &#x0D;  &#x0D; Such a perspective has resulted in some interesting questions.  For example, if the Indians' rights as subjects depended on the crown's prerogative, what happened to those rights when the king was removed?  How did the Indians understand the Restoration?  How were American colonial Indian policies responding to the changes before, during, and after the English civil war?  &#x0D; &#x0D; The answer to these questions reveals a fairly unexplored dynamic between government officials at Whitehall, their American colonial counterparts, and Native tribal leaders in New England.  I will address the foundations of that dynamic from its beginnings at the start of the 17th century through crucial subsequent developments which survived two wars – the English civil war and the New England Native conflict commonly known as King Philip's War (1675-76) – culminating in 1704, when the Mohegans brought their complaint against the Colony of Connecticut to Queen Anne's Privy Council.  Thus, the paper explores early American Indian policies not only at Whitehall but in colonial and tribal power centers in New England, sometimes with surprising observations.  &#x0D; ",Paul Grant-Costa,10/25/2012,"Early Modern Britain Seminar, Center for Early Modern Studies, Oxford University ",http://www.cems-oxford.org/current-events,,,,Owaneco's Pipe: A Prolegomenon to the Native Atlantic World
2329,FA-55067-10,Invited to give the William Bennett Munro Memorial Seminar at the California Institute of Technology.,Edlie Wong,"May 18, 2012",California Institute of Technology,http://www.caltech.edu/content/william-bennett-munro-memorial-seminar-4,CalTech Calendar of Events,,,"In a Future Tense: Immigration Law, Counterfactual Histories, and Chinese Invasion"
2330,FA-55067-10,Invited to give one day seminar and talk on current research at Pennsylvania State University as part of English Department's Imaginary Vistas Series.,Edlie Wong,"February 24, 2012",Pennsylvania State University,http://english.la.psu.edu/events/imaginary-vistas-series-to-present-edlie-wong,Penn State University English Department Events,,,Futures Past: Counterfactual Histories and Comparative Racialization in the Chinese Invasion Novel
2352,AC-50156-12,"A faculty development seminar focused on the development and creation of interdisciplinary courses and sequences.  Dr. Carolyn Haynes presented methods and practices on the creation of interdisciplinary courses and programs, worked with the participating professors on the creation, design, and development of their interdisciplinary courses, and worked with the Convergence of Science, Technology, and the Humanities Project Steering Committee on the development and design of the Interdisciplinary Humanities Sequence.",Dr. Carolyn Haynes,22-23 Febrary 2012,"Universtiy of Puerto Rico, Mayaguez Campus",,,,,The Creation and Development of Interdisciplinary Courses and Sequences
2430,FB-55007-10,"I have organized this international symposium which, indirectly, was a by-product of my grant.",Lise Sedrez,"March 12-15, 2013","Rio de Janeiro, Brazil",http://labhe.historia.ufrj.br/,,,,Simpósio Diálogo Brasil/EUA em História Ambiental: Definindo Agendas e Estratégias de Pesquisa em Comum
2936,AD-50036-12,"The Institute of American Indian Arts was awarded a grant by the National Endowment for the Humanities, which culminated in two multi-disciplinary courses for both the Museum Studies and New Media Arts departments. These courses teach students how to 3-D scan cultural objects with laser scanning and photogrammetry techniques. The possibilities through the application of these two techniques for tribal institutions and communities are amazing and ground-breaking, and should be embraced with some care and diligence. For although it will allow our objects to ""return"" to the communities from which they emerged in order to be utilized in a variety of educational and cultural ways, the dissemination of this data must be carefully guarded as well. This panel will first present the amazing work that the IAIA students have done in scanning the IAIA Museum of Contemporary Native Arts' collection pieces, and then will move into a heart-felt discussion on the issues and concerns on how these and other technologies could have upon our cultural property rights. We look forward to fully sharing the 3D scanning techniques in a pre-conference workshop at the IAIA campus, and then we hope to dialogue together in order to be prepared to utilize technology within our own uniquely strong and knowledgeable culturally-based philosophies and ethics.","Jessie Ryker-Crawford, J. Craig Thompkins","June 10-13, 2013","Santa Ana Pueblo, New Mexico",https://www.dropbox.com/s/xrzdgsr89yy65uf/2013%20ATALM%20Conference%20NEH.pdf,"2013 International Conference of Indigenous Archives, Libraries, and Museums conference program",,,conference session - Technologies for the Digital Humanities: Applications and Concerns in 3-Dimensional Scanning of Cultural Heritage
2946,PJ-50061-10,"TNDP's PI, JoAnne Deeken, was invited to talk to other NDNP Project Directors about how to select and work with an Advisory Group.",JoAnne Deeken,"August 29, 2011","NDNP Annual Meeting, Washington, DC",,,,,Working with your Advisory Group
2947,PJ-50061-10,An introduction and demonstration of Chronicling America and TNDP for Special Collections staff.,Louisa Trott,March 2012,"Hodges Library, University of Tennessee",,,,,Introduction to Chronicling America and TNDP
2948,PJ-50061-10,Presentation about Chronicling America/TNDP. Part of a workshop encouraging teachers to use primary sources in the classroom.,JoAnne Deeken,"March 24, 2012",Nashville Public Library,,,,,Collections2Classrooms
2949,PJ-50061-10,"TNDP Project Coordinator, Louisa Trott, was invited to co-present (with LC NDNP liaison, Tonijala Penn) the Quality Review segment of the Technical Talks session at the NDNP Annual meeting.",Louisa Trott,September 2012,"NDNP Annual Meeting, Washington, DC",,,,,Technical Talks - Quality Review
2950,PJ-50061-10,Poster depicting the various reprints of the Chattanooga Daily Rebel.,Louisa Trott,September 2012,"NDNP Annual Meeting, Washington, DC",,,,,Rebel Rebel: History Reprinting Itself
2951,PJ-50061-10,Teaching American History workshop. &#x0D; Presentation introducing Chronicling America and TNDP to teachers of American history.,Louisa Trott,October 2012,"East Tennessee History Center, Knoxville",,,,,Introduction to Chronicling America and TNDP
2953,PJ-50061-10,"TNDP's PI, JoAnne Deeken was invited to talk to NDNP awardees about contracts and good communication with vendors.",JoAnne Deeken,September 2013,"NDNP Annual Meeting, Washington, DC",,,,,Contracts and Communication with Vendors
2956,PJ-50061-10,"Chuck Sherrill, Tennessee State Librarian and Archivist, gave a presentation at the Middle Tennessee Genealogical Annual Workshop, demonstrating how to use Civil War newspapers in Chronicling America for genealogical research. &#x0D; &#x0D; ""Newspapers helped fire the imagination of Americans to get the Civil War started, and during the war reported extensively on events. In this session attendees will learn the value of newspaper research for home-front news, how to glean and evaluate genealogical information from news accounts and how to find and use new digital libraries of newspapers online.""",Chuck Sherrill,November 2013,"Brentwood Public Library, Brentwood, Tennessee",,,,,Good News about Old News: Civil War Newspaper Research in the Digital Age
