267,RQ-50382-09,"Overview of dramatic activities of the colleges at Oxford and Cambridge, and the four Inns of Court in London, including plays and other performances put on by the students, and visits of professional entertainers. Based on the author's research for three REED collections.",,Alan H Nelson,The Oxford Handbook of Early Modern Theatre,,,http://www.worldcat.org/title/oxford-handbook-of-early-modern-theatre/oclc/251213252&amp;referer=brief results,WorldCat listing,Oxford University Press,,,"""The Universities and the Inns of Court""",2009
298,RA-50040-06,"Food is a marker of identity, culture, and class, and it denotes power, routine, leisure, and celebration. Despite its importance to every aspect of historical research, this topic has not been sufficiently explored in Ottoman history. This volume places the study of food in the mainstream of Ottoman history by analizing major issues--origins, identity, minorities, Ottomanization, the ""golden age,"" foreign relations, the nature of modernity-- all from the perspective of food.",,Nicolas Trepanier,Starting with Food:  Culinary Approaches to Ottoman History,Amy Singer,9781558765146,http://www.worldcat.org/title/starting-with-food-culinary-approaches-to-ottoman-history/oclc/457767120&amp;referer=brief results,WorldCat entry,Markus Wiener Publishers,,,Starting without Food:  Fasting and the Early Mawlawi Order,2011
321,FA-55069-10,"This article provides a detailed examination of celebrations for the King James Version of the Bible at its tercentenary in 1911, mostly in the U.S. but some for Canada and Britain as well.",,Mark A. Noll,The King James Bible and the World It Made,David Lyle Jeffrey,,,,Baylor University Press,,,The KJV at 300:  The Most Democratic Book in the World,2011
343,RA-50003-03,"Redford considers the coincidence, or lack thereof, of states and markets.  He finds that the founding of the Principality of Antioch on the model of the Byzantine Duchy of Antioch led to a geographical, administrative, and economic imbalance.  Geography linked the city of Antioch and its hinterland more closely with the Cilician plain/Cukurova to the north, but the principality's major port, Laodikeia/al-Ladhaqiyya/Lattakia/Lazkiye, and all of its territory to the south along the northern Syrian coast lay apart.  This disjunction between geography and polity had important implications for the economy of the region and the nature of the principality, as an examination of the archazeological evidence suggests.",book,"Redford, Scott",Trades and Markets in Byzantium,"Morrison, Cecile, Mullett, Margaret",978-0-88402-37,https://www.academia.edu/2090565/Trade and Economy in Antioch and Cilicia in the 12th-13th Centuries in C. Morrisson ed. Trade and Markets in Byzantium Washington D.C. Dumbarton Oaks,access through personal academia webpage,Dumbarton Oaks,,,Trade and Economy in Antioch and Cilicia in the 12th - 13th Centuries,2012
348,RA-50003-03,"Vasco da Gama's successful voyage around the Cape of Good Hope in 1497 and the foundation of the Portuguese Estado da India in the following decades has long been identified as a development of enormous global significance, marking as it did the beginning of direct and continuous contact between the civilizations of Western Europe and the Indian Ocean.  Much less well known to modern scholarship, by contrast, is the rival and contemporaneous expansion of the Ottoman Empire into the lands of the Indian Ocean littoral, a process which began with Sultan Selim I's conquest of Egypt in 1517, and which would continue throughout the rest of the sixteenth century.  Because the Ottoman state and the merchant communities of the Indian Ocean shared the same religion, most modern scholars have simply assume that they enjoyed a kind of de facto familiarity with one another as well.   In reality, the early sixteenth century Ottomans were in many ways even less aware of the geography, history and civilization of the Indian Ocean than were their contemporary Portuguese rivals.  The subsequent development of direct contact between the Ottoman Empire and the Muslim principalities and trading communities of the Indian Ocean thus represents a kind of Ottoman 'discovery' of an entirely new part of the globe, and one which corresponds in many ways to the much better documented European discoveries of the same period.",,"Bridenthal, Renate, Casale, Giancarlo, Bentley, Jerry","Seascapes: Maritime Histories, Littoral Cultures and Trans-Oceanic Exchanges","Casale, Giancarlo",,,,University of Hawaii Press,,,The Ottoman 'Discovery' of the Indian Ocean in the Sixteenth Century,2007
352,RA-50003-03,N/A,,"Tezcan, Baki",Identity and Identity Formation in the Ottoman World,"Yosmaoðlu-Turner, Ýpek",,,,University of Wisconsin Press,,,Our Women Treasures: Early Republican Turkish Women and Their Public Identity,2008
355,RA-50003-03,N/A,,"Yýlmaz, Huseyin",Encyclopedia of the Ottoman Empire,,,,,Facts on File,,,Imperial Ideology,2009
373,RA-50055-07,"Concurrently published in a German edition as ""Handel und Handwerk im Umfeld der Agora von Athen,"" in Die Agora von Athen: Neue Perspektiven für eine archäologische Sätte. This publication is directly related to the research project. ",,Prof. Susan Rotroff,The Athenian Agora: New Perspectives on an  Ancient Site,"Craig Mauzy, John Camp","	978380534082",http://www.worldcat.org/title/athenian-agora-new-perspectives-on-an-ancient-site/oclc/502427404&amp;referer=brief results,,Athens/Mainz,,,Commerce and Crafts around the Athenian Agora,2009
402,HD-50298-08,"Study of music and lyrics of different song types shows that the Athabascan language spoken in Minto, Alaska, differs in spoken and sung contexts.  Specifically, unusual words are used, referred to as ‘high language'. Poetic and elliptical language is also found. Important words are sung first, and may be augmented with vocables to show their importance. Voice quality is used to show emotion and to keep the beat in memorial songs. Glottal stops may be unrealized.   Verb stem prominence is reflected when lyrics are matched to tune, may be highlighted with high pitch or pitch change (memorial verses) When music and words conflict in pitch or duration, musical values tend to dominate.  When songs are translated from English to Minto, music still dominates, along with traditional values in content.   ",,"Tuttle, Siri G.","Proceedings of the Humanities of the Lesser-Known, Language Documentation and Description special issue","Håkan Lundström, Jan-Olof Svantesson, Niclas Burenhult, Arthur Holmer, Anastasia Karlsson",,,,HRELP,,,"Language and Music in Minto, Alaska",2012
410,RA-50033-05,"The excavations on the Kastro, in the northeastern Isthmus of Ierapetra near Kavousi, have revealed remains from a substantial phase of settlement belonging to the Late Geometric period. This settlement is composed primarily of multi-room houses built on naturally and artificially terraced slopes. House sizes and plans vary widely across the site: some structures were new foundations in Late Geometric, while others were established in the Protogeometric period and continued to be used, usually with some modification. This paper 1) identifies the Late Geometric houses and exterior spaces; 2) examines other structures whose function may not have been primarily domestic; 3) assesses the factors that may have impacted the plans, sizes and locations of buildings in the settlement; and 4) suggests access routes through the settlement. Explication of the Late Geometric settlement on the Kastro will reveal aspects of social organization and enhance our understanding of conditions that contributed to the process of urbanization on Crete.",,Professor Margaret Mook,Acts of “The Dark Ages” Revisited: An International Symposium in Memory of William D.E. Coulson,A. Mazarakis Ainian,,,,University of Thessaly,,,The Settlement on the Kastro at Kavousi in the Late Geometric Period,2010
1403,FS-50092-06,n/a,,"Piepho, Lee","  Acta for the 2009 Congress of the International Association for Neo-Latin Studies.",,,,,,,,"“Great-Brittaines Sunne-Set”: International Protestantism, Print, and Commemorative Anthologies on the Death of Prince Henry.”",2013
1412,FB-38346-03,Discussed changing ideals of womanhood in Russian Orthodox writing between the 1840s-1917 in the context of the changing social and economic circumstances of women during this period.,,William G. Wagner,Sacred Stories:  Religion and Spirituality in Modern Russian Culture,"Heather Coleman, Mark Steinberg",,,,Indiana University Press,,,?Orthodox Domesticity’:  Creating a Social Role for Women in Late Imperial Russia,2007
1413,FB-38346-03,Examined the social and cultural role of Orthodox convents in Nizhnii Novgorod diocese during the 18th c. and assessed the impact on them of the monastic reforms of Catherine II in 1764,,William G. Wagner,"Women in Eighteenth-Century Russian Culture and Society, 1700-1825 ","Alessandra Tossi, Rosslyn Marsh",,,,Palgrave Macmillan,,,Female Orthodox Monasticism in Eighteenth-Century Imperial Russia: The Experience of Nizhnii Novgorod,2007
411,RA-50033-05,"The paper presents the goals and results of excavations at the Early Iron Age and Archaic site of Azoria in northeastern Crete. Recent excavations at the site (2002-2006) demonstrate that the seventh century B.C. was an important period of culture change in which the Early Iron Age landscape was substantially transformed. The formalization of civic architecture and the reorganization of civic and domestic space are linked to the changing economics of food provisioning in the civic sphere and differentiation of processing and consumption patterns in various domestic and civic contexts. Public places such as an andreion, temple, and an early civic banquet hall were communal, but each was also to some degree exclusionary, serving to order the status of households and clans, and modes of social interaction. New civic buildings seem to form new contexts for elite consumption, negotiating political power, and asserting or claiming social identity in the early city. The paper focuses on the diachronic changes in the formal structure of the site, economic systems, and social organization from the Early Iron Age until the establishment of the city in the seventh and sixth centuries B.C.   ",,"Donald C. Haggis, Professor Margaret Mook",Acts of “The Dark Ages” Revisited: An International Symposium in Memory of William D.E. Coulson,A. Mazarakis Ainian,,,,University of Thessaly,,,"The Early Iron Age-Archaic Transition in Crete: The Evidence from Recent Excavations at Azoria, Eastern Crete",2010
427,FA-55633-11,"This chapter focuses on what it means to be a male elite mestizo by tracing the parallel social networks (Spanish elite, indigenous or mestizo plebeians) along which mestizos traced their social interactions. While female elite mestizos were able to marry Spanish men, ensuring that their offspring were identified as Spaniards, their brothers could not, resulting in elite social networks in their public lives and plebeian networks in their private lives.",,Joanne Rappaport,Celebraciones y crisis: Procesos independentistas en Iberoamérica y la Nueva Granada,,,,,"Editorial Pontificia Universidad Javeriana (Bogota, Colombia)",,,"El mestizo que desaparece: El género en la construcción de redes sociales entre  mestizos de élite en Santafé de Bogotá, siglos XVI y XVI",2011
435,PA-51195-05,Hall responds to criticism that DARE doesn't include enough terms of Scots-Irish origin. She acknowledges that the author's work will allow future DARE volumes to be more inclusive of words used both in northern Ireland and North America.,,"Hall, Joan Houston",From Ulster to America,,9781903688618,,,Ulster Historical Foundation,,,"[Foreword] to From Ulster to America, by Michael Montgomery",2006
455,RA-50050-07,N/A,,Edward Muir,Europa e Italia: Studi in onore di Giorgio Chittolini,"Paola Guglielmotti, Isabella Lazzarini, and Gian Maria Varnanini",,,,Firenze University Press,,,Impertinent Meddlers in State Building: An Anti-War Movement in Seventeenth-Century Italy,2011
456,RA-50050-07,N/A,,Edward Muir,Oxford Handbook of the New Cultural History of Music,Jane Fulcher,,,,Oxford University Press,,,An Evening at the Opera in Seventeenth-Century Venice,2011
458,RA-50050-07,N/A,,Holly Crawford Pickett,"Religion and Drama in Early Modern England: The Performance of Religion on the Renaissance Stage,","Jane Hwang, Degenhardt and Elizabeth Williamson",,,,Ashgate,,,The Idolatrous Nose: Incense on the Early Modern Stage,2011
459,RA-50050-07,N/A,,Holly Crawford Pickett,Thunder at a Playhouse: Essaying Shakespeare and the Early Modern Stage,Peter Kanelos and Matt Kozusko,SusquehannaUP,,,,,,Angels in England: Idolatry and Transformation at the Red Bull Playhouse,2010
464,RA-50050-07,N/A,,Liesl Olson,"Narration, by Gertrude Stein",,,,,University of Chicago Press,,,Introduction,2010
469,RA-50025-05,N/A,,David Karmon,"Art, Piety, and Destruction in European Religion, 1500-1700",Virginia Raguin,,,,Ashgate,,,Preserving Antiquity in a Protestant City: the Maison Carrée in Sixteenth-Century Nîmes,2010
471,RA-50025-05,N/A,,David Karmon,The Virtual Tourist in Renaissance Rome: printing and collecting the Speculum Romanae Magnificentiae,Rebecca Zorach,,,,University of Chicago Press,,,Printing and Protecting Ancient Remains in the Speculum Romanae Magnificentiae,2008
478,RA-50007-03,N/A,,James Epstein,The Peculiarities of Liberal Modernity in Imperial Britain,Simon Gunn and James Vernon,,,,University of California Press,,,Freedom Rules/Colonial Fractures,2011
479,RA-50007-03,N/A,,James Epstein,"Settlers, Creoles, and Historical Re-Enactment",Jonathan Lamb and Vanessa Agnew,,,,Palgrave MacMillan,,,‘The Shrug of Horror’: Creole Performance at King’s Bench,2009
480,RA-50007-03,N/A,,James Epstein,"Gender, Labour, War and Empire: Essays on Modern Britain",Philippa Levine and Susan Grayzel,,,,Palgrave Macmillan,,,In Search of Free Labour: Trinidad and the Abolition of the British Slave Trade,2008
484,RA-50007-03,N/A,,Sarah Pearsall,"Old World, New World: America and Europe in the Age of Jefferson","Leonard J. Sadosky, Peter Nicolaisen, Peter S. Onuf, and Andrew J. O’Shaughnessy",,,,University of Virginia Press,,,"Citizens of the World: Men, Women, and Country in the Age of Revolution",2010
485,RA-50007-03,N/A,,Sarah Pearsall,"The British Atlantic, 1500–1800",David R. Armitage and Michael Braddick,,,,Palgrave/Macmillan,,,Gender,2009
488,RA-50007-03,https://www.worldcat.org/title/siglo-de-oro-en-escena-homenaje-a-marc-vitse/oclc/156775152&amp;referer=brief results,no link to book text,"Louise Burkhart, Barry Sell, Elizabeth Wright",Homenaje a Marc Vitse,Odette Gorsse and Frédéric Serralta.Toulouse,,https://www.worldcat.org/title/siglo-de-oro-en-escena-homenaje-a-marc-vitse/oclc/156775152&amp;referer=brief results,worldcat listing,PUM/Consejería de Educación de la Embajada de España en Francia,,,"Amor y Desamor en un Scriptorium Jesuita: El Padre Horacio Carochi, Editor del Teatro Áureo y Misionero en Nueva España",2006
489,RA-50007-03,N/A,,Elizabeth Wright,Tiempo de Paces: La Pax Hispánica y la Tregua de los Doce Años,Bernardo García García,,,,Sociedad Estatal de Conmemoraciones Culturales/Fundación Carlos Amberes,,,Huellas de los ‘Tiempos de Paces’ en Tres Comedias de Lope de Vega,2009
504,PA-51195-05,Describes three DARE projects for determining how useful internet  searching would be for predating or postdating DARE entries.,,"von Schneidemesser, Luanne",Selected Proceedings of the 2005 Symposium on New Approaches in English Historical Lexis (HEL-LEX),"et al., McConchie, Rod",9781574734126,,,Cascadilla Proceedings,,,Using the Internet as a Resource in Writing and Updating Dictionary Entries,2006
505,PA-51195-05,Midwestern vocabulary is not homogeneous. Examples are provided of terms unique to each of the states in the Midwest.,,"von Schneidemesser, Luanne",The American Midwest: an Interpretive Encyclopedia,"et al., Sisson, Richard",9780253348869,,,Indiana University Press,,,The Dialect Vocabulary of the Midwest,2007
613,FB-38247-03,Conference presentation published in complete form.,open,Thomas Kuehn,Famiglie e poteri in Italia tra medioevo et eta moderna,,9782728308453,http://www.worldcat.org/title/famiglie-e-poteri-in-italia-tra-medioevo-ed-eta-moderna/oclc/449489567&amp;referer=brief results,WorldCat,Ecole Francaise de Rome,,,Legislating and Evading: Florentine Laws and Practices Regarding Repudiation of Inheritance,2009
622,FB-38247-03,Contribution to festschrift,open,Thomas Kuehn,From Florence to the Mediterranean and Beyond,,9788822258946,http://www.worldcat.org/title/from-florence-to-the-mediterranean-and-beyond-essays-in-honour-of-anthony-mohlo/oclc/422688315&amp;referer=brief results,WorldCat,Olschki,,,"Minding the ""Fine Print"": Lawyers, Legal Obligations, and Politics in Savonarolan Florence",2009
623,FB-38819-03,"This essay examines the mechanisms by which Brahmanical tradition reproduced itself, especially the regimens of discipline (vratas) undertaken in tandem with text-study, and their role in establishing the knowledge of Sanskrit religious texts (and the use of Sanskrit more broadly) as an important criterion of piety and high social status. I argue that such regimens functioned as markers of belonging to the Brahmanical religion and ‘pure' Årya society, while also offering the ordinary householder a form of personal piety that promised all the rewards of the old priestly ‘high cult. At the same time, disciplinary regimens provided a traditionally recognized framework for mendicant movements and new deity cults, which helped carry Brahmanical texts, ideals, and practices, via royal patronage, into new regions in India beyond the Ganges Valley and on into Southeast Asia. The second part of this essay will consider what early inscriptions can show us about how Brahmanical doctrine and practice were projected in the public sphere, noting instances in which particular subjects, texts, and especially disciplinary practices are cited, and observing that the grants and foundations recorded in these inscriptions helped spread the tradition and enhance its prestige. My remarks, intended only as a point of departure, will focus mainly on early grants from Orissa.",,Timothy Lubin,"Boundaries, Dynamics and Construction of Traditions in South Asia",Federico Squarcini,88-8453-261-2,http://www.fupress.com/scheda.asp?IDV=376,Firenze University Press webpage for the volume.,Firenze University Press,,,"“The Transmission, Patronage, and Prestige of Brahmanical Piety from the Mauryas to the Guptas” ",2005
632,FB-38819-03,"An edition, translation, and historical study of an early Shaiva scripture with a medieval commentary thereon.  The central historical issue is the reception of Vedic religious heritage in later phases of India's religious history.",,Timothy Lubin,"The Atharvaveda and its Paippalada Sakha: Historical and Philological Papers on a Vedic Tradition, edited by Arlo Griffiths and Annette Schmiedchen (Geisteskultur Indiens. Texte und Studien 11 = Studia Indologica Universitatis Halensis)","Arlo Griffiths, Annette Schmiedchen",978-3-8322-62,http://www.shaker.de/de/content/catalogue/index.asp?lang=de&amp;ID=8&amp;ISBN=978-3-8322-6255-6,Publisher's webpage for this volume.,Aachen: Shaker Verlag,,,"""The Nilarudropanisad and the Paippaladasamhita: A Critical Edition and Translation of the Upanisad and Narayana's Dipika""",2007
642,FA-51529-05,"This chapter from the edited volume analyzes the linked histories of two adjacent neighborhoods, one a favela—the Morro dos Cabritos—and the other a middle-class residential neighborhood—Bairro Peixoto. This is the most harmonious case of formal/informal relations in Rio de Janeiro—all similar pairs of neighborhoods have suffered greater violence and animosity. But even this relatively harmonious case reveals the adversarial dynamics that have shaped the city over the past forty years. The individual book manuscript analyzes the larger city, concentrating in greater depth on redemocratization from 1977-1993. This draft chapter begins with a description of present-day Morro dos Cabritos and Bairro Peixoto, then analyzes the shared history that has brought them to this point.",,Bryan McCann,Cities from Scratch,Brodwyn Fischer,,,,Duke University Press,,,Troubled Oasis: Bairro Peixoto and Morro dos Cabritos,2012
646,ED-50241-03,"This article explores the influence of the ideas of the Harlem Renaissance in the early poems of Nicolas Guillen, a close friend of Langston Hughes.  The study of Pan African movements in the Americas resulted from my NEH funded Focus Grant, ""The African Roots of Latin Music.""",,Ana Maria Hernandez,,Brenda Greene,,http://www.worldcat.org/title/african-presence-and-influence-on-the-cultures-of-the-americas/oclc/636921546&amp;referer=brief results,This book gathers papers presented at the CUNY-wide conference on the influence of the African diaspora in the culture of the Americas.,,,," “The United States in the Poetry of Guillén.” In Brenda Greene, ed. and intro. The African Presence and Influence in the Culture of the Americas.  Newcastle upon Tyne (UK): Cambridge Scholars Publishing, 2010: 25-32.",2010
660,FB-38819-03,"Nearly two decades ago, Patrick Olivelle drew attention to the fact that, with the emergence and general acceptance of the classical 'asrama system', the status of the snataka (one who has taken the ritual bath that concludes studentship), was eclipsed. Although in Vedic times he was held up as an object of reverence, he ran the risk in later times of being condemned as an anasramin (one without an asrama; hence, a sinner) (Olivelle 1993: 220-221). This paper will examine the ritual and social roles of the snataka, with special attention to later works of the Grhya ritual literature, including the Baudhayanagrhyaparibhasasutra.",,Timothy Lubin,Religion and Identity in South Asia and Beyond: Essays in Honor of Patrick Olivelle,Steven Lindquist,9780857287908,http://www.anthempress.com/index.php/religion-and-identity-in-south-asia-and-beyond.html,Press webpage for the volume.,Anthem Press,,,"""The Elusive Snataka""",2011
675,ED-50174-03,"Using materials from the Digital History Reader, this chapter explores teaching resources about the great depression.",,"Jane Lehr, Melissa Lisanti, E. Thomas Ewing, David Hicks",Digital Age,,,,,National Council for the Social Studies,,,The End of Optimism? The Great Depression in Europe,2006
726,FB-38683-03,"An essay on the reception and depiction of Augustine in the Renaissance, and on the notion of conversion.",,Meredith J. Gill,The Renaissance World,John Jeffries Martin,,,,Routledge,,,"""Speaking Books, Moving Images""",2007
740,GJ-50002-04,Reprint of previous entry.,,Helen Vendler,Beyond Words: A Visual Reader.,John Ruskiewicz,0321276019,https://www.amazon.com/Beyond-Words-Reading-Writing-Visual/dp/0321276019,Amazon link to book.,"Bel Air, CA: Longman Publishers",,,"“The Ocean, the Bird, and the Scholar.”",2005
5227,RA-50105-11,Abstract not available.,,Walter Melion,"Image and Incarnation: The Early Modern Doctrine of the Pictorial Image, 1400-1700 [Intersections: Interdisciplinary Studies in Early Modern Culture 39]","Walter Melion, L.P. Wandel",,,,Brill,,,Convent and cubiculum cordis: The Incarnational Thematic of Materiality in the Cistercian Prayerbook of Martin Boschman (1610),2015
5228,RA-50105-11,Abstract not available.,,Walter Melion,"Myth, Allegory, and Faith: The Kirk Edward Long Collection of Mannerist Prints",B. Barryte,,,,Silvana Editoriale,,,"Apellea et ipse manu: Hieronymus Cock and His Allegories of Art—Apollo, Diana, and the Niobids, The Labors of Hercules, Hercules and the Pygmies, and The Raising of the Brazen Serpent",2015
5229,RA-50105-11,Abstract not available.,,Walter Melion,Personification: Embodying Meaning and Emotion [Intersections: Interdisciplinary Studies in Early Modern Culture 41],"Bart Ramakers, Walter Melion",,,,Brill,,,Personification; An Introduction,2016
743,FB-37575-02,"Designed as a corrective to colonial literary histories that have excluded Native voices, this anthology brings together a variety of primary texts produced by the Algonquian peoples of New England during the seventeenth, eighteenth, and very early nineteenth centuries. Included among these written materials and objects are letters, signatures, journals, baskets, pictographs, confessions, wills, and petitions, each of which represents a form of authorship. Together they demonstrate the continuing use of traditional forms of memory and communication and the lively engagement of Native peoples with alphabetic literacy during the colonial period. Each primary text is accompanied by an essay that places it in context and explores its significance. Written by leading scholars in the field, these readings draw on recent trends in literary analysis, history, and anthropology to provide an excellent overview of the field of early Native studies. They are also intended to provoke discussion and open avenues for further exploration by students and other interested readers. Above all, the texts and commentaries gathered in this volume provide an opportunity to see Native American literature as a continuity of expression that reflects choices made long before contact and colonization, rather than as a nineteenth- or even twentieth-century invention.  Contributors include Heidi Bohaker, Heather Bouwman, Joanna Brooks, Kristina Bross, Stephanie Fitzgerald, Sandra Gustafson, Laura Arnold Leibman, Kevin McBride, David Murray, Laura Murray, Jean O Brien, Ann Marie Plane, Philip Round, Jodi Schorb, David Silverman, and Hilary E. Wyss. ",,Laura Arnold Leibman,"Early Native Literacies in New England: A Documentary and Critical Anthology (Native Americans of the Northeast: Culture, History, &amp; the Contemporary)",Hilary Wyss &amp; Kristina Bross,1558496483,http://www.umass.edu/umpress/title/early-native-literacies-new-england,U. Mass Press Book Description,Univ. of Massachusetts Press,http://www.amazon.com/Early-Native-Literacies-New-England/dp/1558496483/ref=sr 1 1?ie=UTF8&amp;s=books&amp;qid=1239051268&amp;sr=1-1,Amazon Book Listing,Tradition and Innovation in a Colonial Wampanoag Family from Martha’s Vineyard,2008
787,FB-38699-03,"Scribners/Thomson-Gale, 2008.",,Jordana Dym,Encyclopedia of Latin American History and Culture.,Michael Francis,,,,Scribners/Thompson/Gale,,,Travel Literature,2008
790,FB-38699-03,An essay about colonial and nineteenth-century mapping in Spanish America.,,Jordana Dym,Encyclopedia of Latin American History and Culture.,Michael Francis,,,,Scribners/Thomson-Gale,,,Cartography,2008
805,FT-52266-04,"Analysis of American writer Margaret Fuller's reading notes on the novels of French writer George Sand, as well as Fuller's published comments about Sand.  The article's argument is that Sand prompted Fuller to think about how she might write in Sand's mode (quite different from her own) and that a Fuller sketch, ""The Magnolia of Lake Pontchartrain,"" is evidence for this influence.",,Gary Williams,"Exaltadas: A Female Genealogy of Transcendentalism ","Jana Argersinger, Phyllis Cole",,,,University of Georgia Press (not yet in production),,,"""What Margaret Thought of George""",2012
813,RZ-50163-04,"A study of Huanglong in northern Sichuan, analyzing the ideology of environmentalism and tourism in Chinese official policy, and contrast it with local religious ideas and practices",,Xiao-fei Kang,(Im)permanence in Art and Cultural History,,,,,Pennsylvania State University Press,,,Purity and Pollution: From Pilgrimage Center to World Heritage Park,2008
814,RZ-50163-04,The impact of tourism and state religious policy on local religion and ethnic relations in the Huanglong and neighboring areas,,"Xiaofei Kang, Donald S. Sutton",Casting Faiths: The Construction of Religion in East and Southeast Asia,Thomas DuBois,,,,Palgrave Macmillan,,,"Recasting Religion and Ethnicity: Tourism and Socialism in Northern Sichuan, 1992-2005",2009
